name,description,fragrance,top_notes,middle_notes,base_notes,detail_url
Tom Ford Neroli Portofino 暖陽橙花中性淡香精,《航海王》真人版「索隆」新田真劍佑，藝人愛用香水，清爽不厚重，一年四季都可以使用！,柑橘花香調,佛手柑、柑橘、檸檬、薰衣草、桃金孃、迷迭香、苦橙,非洲橙花、茉莉花、橙花、海桐花,琥珀、麝香錦葵、當歸,https://www.1976.com.tw/prod/18072
L'Artisan Parfumeur Passage d'Enfer Extreme 阿蒂仙之香 冥府之路濃郁 龍年限定版中性淡香精,個人認為最完美的檀香氣息。層次渾融熟靜，氛圍沉穩安寧。開始時好似沉香顆粒一般的水鏽味在舌根漫延，漸漸地交溶至柔和圓滿，深長悠遠的後味祥和安定，撫慰人心。強力推薦給也喜歡檀香味道的朋友。,木質清新調,玫瑰、薑,乳香脂、蘆薈木、野百合、雪松,檀木、安息香、麝香,https://www.1976.com.tw/prod/21465
Maison Margiela By the fireplace 壁爐火光中性淡香水迷你瓶,香如其名！一噴上馬上就宛如進到了香味所詮釋的場景，彷彿我就坐在溫暖的壁爐前吃著剛烤好的栗子，香香甜甜，又散發著一股淡淡的燃燒過後的木頭焦味…聞久了都不會膩！,木質調,丁香、粉紅胡椒、橙花,栗子、瓜亞木、杜松,香草、秘魯香脂、Cashmeran,https://www.1976.com.tw/prod/21469
Tom Ford Tubereuse Nue 赤裸晚香玉中性淡香精(極致白夜香),赤裸晚香玉 Tubereuse Nue 化身為夜間的女王,東方花香調,茉莉、百合、四川花椒,晚香玉、蘇合香、安息香、可可,麂皮、麝香、零陵香豆、沈香,https://www.1976.com.tw/prod/18796
Miller Harris Myrica Muse 胭梅繆思淡香精,楊梅和草莓的芬芳紅色水果使嫩玫瑰和感性朗姆酒的香氣更加明亮。,誘人美食調 、 花果甜美調,草莓、楊梅、粉紅胡椒、柑橘,茉莉、鈴蘭、廣藿香、玫瑰、蘭姆酒,安息香、麝香、琥珀、檀香、香草,https://www.1976.com.tw/prod/22142
Hermes Eau D'orange Verte 愛馬仕橙綠中性古龍水 TESTER,溫朗新鮮的橘味，香味容易消散，持久度普通。HERMES Eau D'orange Verte愛馬仕橙綠古龍水以中性氣質來調香，薄荷、鮮橙、檸檬融合在一起，使得香氣更顯活力清新。很適合姿態優雅的職場驕子，風度翩翩，心懷浪漫，從不焦急，因為一切變化皆在意料之中。亦適合個性派女性使用！,柑橘清新調,佛手柑、 鮮橙、 檸檬,茉莉、 番木瓜、 橙花,廣藿香、 橡樹、 薄荷,https://www.1976.com.tw/prod/13216
Etat Libre d'Orange I am Trash 解放橘郡 我是垃圾中性淡香精(荒蕪果實),初聞像是果味(蘋果+草莓)洗髮精的感覺，水潤果香，因此有點興趣缺缺。第二次聞的時候發現果味變得濃郁得彷彿發酵中，熟透了的味道，卻非常好聞，果糖、果香都來到最濃縮的時段。洗髮精的感覺還是存在，就像是用了高級果味洗髮精的好好洗了個頭後散發的氣味。,木質花香調 、 花果清新調,蘋果精華、綠柑橘、苦橙,玫瑰精華、Iso E Super 、草莓,雪松、檀木、Akigalawood,https://www.1976.com.tw/prod/19763
Acca Kappa Libocedro & Salvia 雪松&鼠尾草淡香精,融合辛香、花香與木香的多層次質感，充滿植物清新氣息又不失溫柔及溫暖，男女都可用，與眾不同的穿透力讓人一聞就愛上！,木質清新調 、 柑苔調,佛手柑、丁香,玫瑰、鼠尾草,雪松、麝香,https://www.1976.com.tw/prod/21608
Etat Libre d'Orange I am Trash 解放橘郡 我是垃圾中性淡香精(荒蕪果實) TESTER,初聞像是果味(蘋果+草莓)洗髮精的感覺，水潤果香，因此有點興趣缺缺。第二次聞的時候發現果味變得濃郁得彷彿發酵中，熟透了的味道，卻非常好聞，果糖、果香都來到最濃縮的時段。洗髮精的感覺還是存在，就像是用了高級果味洗髮精的好好洗了個頭後散發的氣味。,木質花香調 、 花果清新調,蘋果精華、綠柑橘、苦橙,玫瑰精華、Iso E Super 、草莓,雪松、檀木、Akigalawood,https://www.1976.com.tw/prod/21882
Hermes Eau D'orange Verte 愛馬仕橙綠中性古龍水迷你瓶,古龍水的原貌，經典柑橘系帶點微酸，香氛結構簡單大方，一天中任何時刻噴在身上也不違和，男女老少都適宜；而且這香味帶點懷舊風，一開瓶聞到它就像觸動記憶的按鈕，過往的浮光掠影再現。,柑橘清新調,佛手柑、 鮮橙、 檸檬,茉莉、 番木瓜、 橙花,廣藿香、 橡樹、 薄荷,https://www.1976.com.tw/prod/18284
Tom Ford Rose D'amalfi 阿瑪菲玫瑰 淡香精,《玻璃之心》日本藝人町田啟太 私人愛用香，讓人聯想到意大利阿瑪菲海岸吹拂的微風。,玫瑰花香調,義大利佛手柑,頂級玫瑰精油、玫瑰原精,秘魯香脂 、杏仁狀水草,https://www.1976.com.tw/prod/20419
L'Artisan Parfumeur Premier Figuier 阿蒂仙之香 在無花果樹下香水,枝葉綠意後是暖甜溫熱的奶香，乾淨舒服、隨性恣意。適合微涼的天氣一身白淨享受陽光，不挑性別。檀香味時有時無，讓椰香多了一份深度。,木質清新調 、 誘人美食調,楓子香、蜜桃、無花果葉,檀香、杏仁牛奶、無花果,石松、椰奶、乾果,https://www.1976.com.tw/prod/4113
Tom Ford Rose Prick 禁忌玫瑰中性淡香精,玫瑰花的香氣相較於其他玫瑰花香調的香水淡，前味消失的速度很快，中味的玫瑰香氣很快就會出現然後會轉變為淡淡的玫瑰香，和後味融合在一起，是很舒服的暖暖的氣味，安心的香氣。ＴＦ係列的淡香精持香很久，這款中後味調和在一起是一種淡淡的暖意。,玫瑰花香調,四川胡椒、薑黃,五月玫瑰、保加利亞玫瑰、土耳其玫瑰,廣藿香、零陵香豆,https://www.1976.com.tw/prod/18997
Acca Kappa Tilia Cordata 菩提橙綠中性淡香精(椴花晨曦),"清甜淡雅風格，無欲無求，自成一格，四季皆適用。
每次都把衣櫃跟房間還有床榻小噴一下，是很讓人安穩沒有壓力的香水。",花香調 、 柑橘花香調,義大利檸檬、義大利佛手柑、橙花,菩提花、玉蘭、茉莉、玫瑰,琥珀、麝香,https://www.1976.com.tw/prod/14933
Etat Libre d'Orange Story of your Life 解放橘郡 你的生活故事淡香精(如你所述),"從我們第一天早上吃奶油麵包和橙花開始，就品嚐著昨天的桂冠。
我們陶醉地翱翔，喝著香草和可可的蘭姆酒。",木質東方調 、 誘人美食調 、 辛辣調,岩薔薇、印蒿、安息香,月桂、橙花、奶油蛋捲,蘭姆酒、香草、琥珀木,https://www.1976.com.tw/prod/22415
Armaf Club De Nuit White Imperiale 白色帝國女性淡香精,這就是Marly Delina La Rosee 德利納玫瑰精露淡香精的平價版，多汁迷人的玫瑰，春夏季必備品！,玫瑰花香調 、 木質花香調 、 東方花香調,荔枝、佛手柑、肉荳蔻,土耳其玫瑰、香草、麝香、牡丹,香草、喀什米爾木、熏香、雪松,https://www.1976.com.tw/prod/20825
Maison Margiela On A Date 微醺之後中性淡香水(落日約會),剛上身的味道會有點甜感，但中味開始會散發清爽怡人的玫瑰香，然後維持著舒服自然的香氣，很氣質，好駕馭又襯托溫婉氣質的香味。,廣藿香、香根草、苔蘚香調、麝香,黑加侖酒香、佛手柑、粉紅胡椒,伊斯帕塔玫瑰、天竺葵、印蒿,,https://www.1976.com.tw/prod/21202
L'Artisan Parfumeur A Fleur de Peche 阿蒂仙之香桃野仙蹤中性淡香精,阿蒂仙之香桃野仙蹤中性淡香精是對誘惑路易十四宮廷美食家的優雅水果的嗅覺素描，調香師 Antoine Maisondieu 捕捉了嬌嫩桃子的精髓，採用意想不到的成分來體現桃子的各個方面——從毛茸茸的果皮到多汁的果肉，一直到木質的核心。,柑苔調 、 花果甜美調,桃子,茉莉,廣藿香,https://www.1976.com.tw/prod/21809
