name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
YSL MYSLF L’Absolu 极镜淡香精迷你瓶,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.941398620605469,0.0,3.3962631225585938,0.18911698460578918,0.0,0.0,0.0,0.0,4.052496910095215,0.0,0.0,0.0,0.0,0.0,1.194726586341858,0.0,0.0,0.0,0.0,0.0,0.0,1.1780744791030884,0.0,0.0,0.0,0.0,2.4107515811920166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6898008584976196,0.0,0.0,2.934857130050659,0.0,0.0,0.0,0.0,4.091075420379639,0.0,0.0,1.1197564601898193,0.0,0.0,0.0,0.0,0.0,0.0,9.278444290161133,0.0,0.0,0.0,4.331832408905029,0.0,0.0,0.0,0.0,0.0,0.0,2.9715516567230225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.874965667724609,1.4464480876922607,7.4494524002075195,2.6963155269622803,0.0,1.6473612785339355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.328497886657715,0.0,0.0,0.0,4.0144524574279785,4.304967880249023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.392220497131348,0.0,0.0,0.0,0.0,0.0
Versace Eros Najim 凡赛斯爱神星渝男性香精,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.74916672706604,0.0,0.0,0.0,0.0,7.2823004722595215,0.0,6.607663631439209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.187549591064453,0.0,0.0,23.2661190032959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0794458389282227,0.0,0.0,0.0,1.5218348503112793,0.0,0.0,0.0,4.665828704833984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.161161422729492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.159781455993652,0.0,0.0,0.0,10.407832145690918,0.0,0.0,0.0,0.0,0.0,2.3754992485046387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Messi 梅西同名男性淡香精,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5347599387168884,0.0,4.5192365646362305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.875158309936523,0.0,0.0,0.0,6.894921779632568,0.0,0.0,0.0,0.29970455169677734,0.0,0.0,0.0,0.0,14.057759284973145,0.0,0.0,13.155305862426758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.612358033657074,0.0,0.0,6.025959014892578,0.0,0.0,0.0,7.552883625030518,0.0,0.0,0.0,0.0,0.0,0.0,2.9456653594970703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.58437442779541,6.322917938232422,10.931496620178223,0.0,0.0,2.686854124069214,0.0,10.457732200622559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.307088851928711,0.0,0.0,0.0,0.0,6.091358184814453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33840274810791,0.0,0.0,0.0,0.0,0.0
YSL MYSLF L’Absolu 极镜淡香精,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.941398620605469,0.0,3.3962631225585938,0.18911698460578918,0.0,0.0,0.0,0.0,4.052496910095215,0.0,0.0,0.0,0.0,0.0,1.194726586341858,0.0,0.0,0.0,0.0,0.0,0.0,1.1780744791030884,0.0,0.0,0.0,0.0,2.4107515811920166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6898008584976196,0.0,0.0,2.934857130050659,0.0,0.0,0.0,0.0,4.091075420379639,0.0,0.0,1.1197564601898193,0.0,0.0,0.0,0.0,0.0,0.0,9.278444290161133,0.0,0.0,0.0,4.331832408905029,0.0,0.0,0.0,0.0,0.0,0.0,2.9715516567230225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.874965667724609,1.4464480876922607,7.4494524002075195,2.6963155269622803,0.0,1.6473612785339355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.328497886657715,0.0,0.0,0.0,4.0144524574279785,4.304967880249023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.392220497131348,0.0,0.0,0.0,0.0,0.0
Davidoff Essentials Blue 大卫杜夫蓝色境界男性淡香水,0.0,0.0,0.0,3.3697690963745117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3935227394104,4.636349201202393,0.0,0.9157941341400146,0.0,4.880548477172852,3.9774229526519775,0.0,0.0,0.0,0.0,2.517904758453369,0.0,0.0,0.0,0.0,5.422784328460693,0.0,0.0,16.611827850341797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.170012474060059,0.0,0.0,0.0,1.202351689338684,0.0,0.0,5.558157920837402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8064579963684082,0.0,0.0,0.0,6.629410266876221,0.0,0.0,6.490442752838135,9.72467041015625,0.0,0.0,6.624939918518066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.010016441345215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7099456787109375,1.4119524955749512,3.518078565597534,0.0,0.0,10.25341796875,0.0,0.0,0.0,0.0,0.0,0.0,6.265119552612305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenzo Jungle 斑马男性淡香水(2025),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08365616202354431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.298989295959473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6645602583885193,0.0,0.8545354604721069,0.0,1.2458235025405884,9.927553176879883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.544588088989258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.784183979034424,0.0,0.0,0.0,0.0,0.0,0.0,5.376344203948975,0.0,0.0,0.0,0.0,0.0,0.0,0.052303165197372437,0.0,0.0,0.3414821922779083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.961920261383057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019675493240356445,0.0,0.6230422258377075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.490107536315918,0.0,0.0,0.0,5.373863697052002,8.808159828186035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.058004856109619,0.0,0.0,0.0,0.0,0.0
Versace Eau Fraiche Extreme 凡赛斯云淡风轻男性淡香精版本迷你瓶,0.0,0.0,0.0,0.7662547826766968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9371018409729,0.3921589255332947,0.0,7.517237186431885,0.0,4.527637481689453,0.0,0.4083378314971924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.757800579071045,0.0,0.0,19.499963760375977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.432351112365723,0.0,0.0,0.0,0.0,0.0,0.0,3.027529239654541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.062796592712402,0.0,0.0,12.831681251525879,16.795223236083984,0.0,0.0,6.429710388183594,0.0,0.11908530443906784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.943432807922363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.428808212280273,0.0,2.9049880504608154,0.0,0.0,13.381265640258789,0.0,0.0,0.0,0.0,0.0,0.0,5.753121376037598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Versace Eau Fraiche Extreme 凡赛斯云淡风轻男性淡香精版本,0.0,0.0,0.0,0.7662547826766968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9371018409729,0.3921589255332947,0.0,7.517237186431885,0.0,4.527637481689453,0.0,0.4083378314971924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.757800579071045,0.0,0.0,19.499963760375977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.432351112365723,0.0,0.0,0.0,0.0,0.0,0.0,3.027529239654541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.062796592712402,0.0,0.0,12.831681251525879,16.795223236083984,0.0,0.0,6.429710388183594,0.0,0.11908530443906784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.943432807922363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.428808212280273,0.0,2.9049880504608154,0.0,0.0,13.381265640258789,0.0,0.0,0.0,0.0,0.0,0.0,5.753121376037598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hugo Boss 优客男性淡香水(2021) TESTER,0.0,0.0,0.0,5.5749077796936035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.72055721282959,9.152009010314941,0.0,0.0,0.0,4.2422871589660645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.09112548828125,0.0,0.0,13.876700401306152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.225936889648438,0.0,0.0,0.0,18.098140716552734,0.0,0.0,8.051817893981934,0.0,0.0,0.0,0.0,0.0,0.0,0.6355745792388916,0.0,0.0,5.596982479095459,0.0,0.0,0.0,7.217175006866455,0.0,0.0,1.4361793994903564,6.8011794090271,0.0,0.0,3.931196451187134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.553441047668457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015349164605140686,0.0,0.0,10.362876892089844,0.0,0.0,0.0,0.0,0.0,0.0,2.9971392154693604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kilian Straight to heaven 直冲天堂男性淡香精(忘我天堂) 行动香氛,0.0,0.0,0.34184423089027405,0.0,0.0,0.0,0.0,0.0,1.9696182012557983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.241044044494629,0.0,0.0,0.0,11.099884033203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.199420928955078,0.0,0.0,0.0,0.0,0.8148993849754333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.372220993041992,3.6461524963378906,0.0,0.0,5.226119518280029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.411107063293457,0.0,4.895334720611572,0.0,0.0,3.0230045318603516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.722736358642578,0.0,0.0,0.0,4.748143672943115,4.864163398742676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.339225769042969,0.0,0.0,0.0,0.0,0.0
