ID,brand,name_cn,name_fr,year,score,top_note,middle_note,base_note,note
464418,香奈儿,邂逅清新（绿邂逅）香发喷雾,Chanel Chance Eau Fraiche Hair Mist,0000,8.4,,,,香橼 柚木 茉莉
376264,香奈儿,珍藏系列-东方屏风香精版,Chanel Coromandel Parfum,2019,9.9,苦橙 橙花油 柑橘,广藿香 鸢尾根 茉莉 玫瑰,乳香 安息香脂 劳丹脂,
385112,香奈儿,黑色可可香精版,Chanel Coco Noir Extrait,2014,8.8,葡萄柚 香柠檬 醛 柠檬,玫瑰 水仙花 天竺葵 茉莉 公丁香,广藿香 乳香 零陵香豆 檀香木 香草 麝香 安息香脂 鸢尾根,
189200,香奈儿,5号诱惑,Chanel N°5 Elixir Sensuel,2004,8.8,醛 橙花油,依兰 鸢尾花 茉莉,琥珀 木质,
163437,香奈儿,邂逅香精版,Chanel Chance Parfum,2003,8.8,,,,茉莉 鸢尾花 麝香 香草
217256,香奈儿,岛屿森林,Chanel Bois Des Iles Parfum,0000,9.7,,,,檀香木 姜饼 香根草 依兰 香草 零陵香豆 茉莉 玫瑰 杏仁
469091,香奈儿,珍藏系列-梧桐影木香精,Chanel Sycomore Parfum,2022,8.6,,,,香根草 鸢尾花 香草 雪松 皮革
394623,香奈儿,5号香发喷雾,Chanel N°5 Hair Mist,0000,9.2,,,,玫瑰 茉莉
750944,香奈儿,嘉柏丽尔香精,Chanel Gabrielle Parfum,2022,8.9,,,,茉莉 晚香玉 橙花 香草 依兰 檀香木
654819,香奈儿,19号古龙水,Chanel N°19 Eau de Cologne,1971,8.5,香柠檬 白松香 风信子 橙花油,鸢尾花 茉莉 铃兰 水仙花.玫瑰 依兰,橡木苔 皮革 麝香 檀香木 雪松,
307213,香奈儿,感性魅力淡香水,Chanel Allure Sensuelle Eau de Toilette,2006,7.7,粉红胡椒 香柠檬 橘子,香根草 干果 鸢尾花 玫瑰 茉莉,广藿香 香草 琥珀 劳丹脂 麝香,
586197,香奈儿,蔚蓝珍藏香精,Chanel Bleu de Chanel L'Exclusif,2025,8,,,,木质 琥珀 劳丹脂 檀香木
220781,香奈儿,5号香氛发香雾,Chanel N°5 Hair Fragrance,2021,8.4,,,,茉莉 玫瑰
274013,香奈儿,栀子花香精版,Chanel Gardénia Extrait de Parfum,2017,8.4,,,,栀子花
690193,香奈儿,5号淡香精100周年纪念限量版,Chanel N°5 Eau de Parfum 100th Anniversary – Ask For The Moon Limited Edition,2021,9.6,醛 依兰 香柠檬 桃子 橙花油,鸢尾花 铃兰 玫瑰 茉莉,檀香木 橡木苔 广藿香 香根草 香草,
213773,香奈儿,珍藏系列-栀子花淡香水,Chanel Gardénia Eau de Toilette,2007,8.4,橙花 茉莉 栀子花 绿叶,晚香玉 椰子 果香,麝香 香根草 广藿香 檀香木 香草,
467133,香奈儿,感性魅力香精版,Chanel Allure Sensuelle Parfum,2006,,,,,东方香料 玫瑰 香草 茉莉
368056,香奈儿,5号之水限定珍藏版,Chanel N°5 L’EAU – Limited edition,2024,8.7,醛 青柠 橘子 橙子 柠檬 香柠檬 橙花油,依兰 玫瑰 茉莉,麝香 雪松 鸢尾根 香草,
