ID,brand,name_cn,name_fr,year,top_note,middle_note,base_note,note
595834,香奈儿,嘉柏丽尔,Chanel Gabrielle,2017,葡萄柚 橘子 黑加仑,橙花 茉莉 依兰 晚香玉 铃兰 梨 粉红胡椒,麝香 檀香木 开司米酮 鸢尾根,
557383,香奈儿,可可小姐黑色,Chanel Coco Noir,2012,葡萄柚 香柠檬 橙子,玫瑰 天竺葵 茉莉 水仙花 桃子,广藿香 檀香木 乳香 零陵香豆 香草 麝香 公丁香 安息香脂,
589834,香奈儿,珍藏系列-康朋街31号,Chanel Les Exclusifs de Chanel 31 Rue Cambon,2007,香柠檬 胡椒 绿叶,鸢尾花 依兰 玫瑰,广藿香 劳丹脂,
176433,香奈儿,蔚蓝淡香水,Chanel Bleu de Chanel Eau de Toilette,2010,葡萄柚 柠檬 薄荷 粉红胡椒,生姜 肉豆蔻 茉莉 龙涎酮,焚香 香根草 雪松 檀香木 广藿香 劳丹脂 麝香,
567250,香奈儿,珍藏系列-清新古龙水,Chanel Les Exclusifs de Chanel Eau de Cologne,2007,柠檬 香柠檬 柑橘 绿叶,橙花油 苦橙叶 辛香料,麝香 零陵香豆,
825753,香奈儿,珍藏系列-东方屏风淡香精,Chanel Coromandel Eau de Parfum,2016,苦橙 柑橘 橙花油,广藿香 鸢尾根 玫瑰 茉莉,安息香脂 白巧克力 琥珀 乳香 焚香 木质 麝香,
468431,香奈儿,之水系列,巴黎-比亚利兹 Chanel Paris – Biarritz,2018,蜜橘 香柠檬 橙子 柠檬 葡萄柚,橙花油 绿叶 铃兰,麝香 广藿香,
606270,香奈儿,19号香精版,Chanel N°19 Parfum,1970,白松香 橙花油,鸢尾根 玫瑰 水仙花 茉莉 希蒂莺 依兰,橡木苔 香根草 雪松 麝香,
440460,香奈儿,邂逅（黄邂逅）淡香水,Chanel Chance Eau de Toilette,2002,广藿香 粉红胡椒 菠萝 风信子 鸢尾花,柠檬 茉莉 玫瑰,广藿香 麝香 香根草 香草,
342962,香奈儿,5号香精版,Chanel N°5 Parfum,1921,醛 依兰 橙花油 香柠檬 柠檬,鸢尾花 茉莉 玫瑰 鸢尾根 铃兰,麝猫香 麝香 琥珀 檀香木 橡木苔 香根草 香草 广藿香,
918503,香奈儿,蔚蓝香精版,Chanel Bleu de Chanel Parfum,2018,柠檬皮 香柠檬 薄荷 艾蒿,薰衣草 菠萝 天竺葵 绿叶,檀香木 雪松 琥珀木 龙涎酮 零陵香豆,
664020,香奈儿,珍藏系列-法式别墅淡香精,Chanel La Pausa Eau de Parfum,2016,,,,鸢尾花 木质 绿叶 脂粉味
607576,香奈儿,水晶恋淡香水,Chanel Cristalle Eau de Toilette,1974,柠檬 香柠檬,风信子 巴西红木 忍冬 茉莉,橡木苔 香根草,
748009,香奈儿,可可小姐淡香水,Chanel Coco Mademoiselle Eau de Toilette,2002,橙子 香柠檬 葡萄柚,荔枝 玫瑰 茉莉,广藿香 香根草 香草 麝香,
872811,香奈儿,之水系列,巴黎-威尼斯 Chanel Paris – Venise,2018,柠檬 橙子 苦橙叶 香柠檬 粉红胡椒,鸢尾花 橙花油 依兰 玫瑰 天竺葵,零陵香豆 麝香 香草 紫罗兰 鸢尾根 安息香脂,
809824,香奈儿,力度,Chanel Antaeus,1981,没药 快乐鼠尾草 芫荽 香柠檬 青柠 柠檬,玫瑰 百里香 罗勒 茉莉,海狸香 橡木苔 广藿香 劳丹脂,
169415,香奈儿,魅力男士运动,Chanel Allure Homme Sport,2004,橙子 海水 醛 橘子,胡椒 橙花油 雪松,零陵香豆 香草 麝香 琥珀 香根草 榄香脂,
746079,香奈儿,自我,Chanel Egoiste,1990,巴西红木 芫荽 桃花心木 橘子,肉桂 玫瑰 康乃馨,檀香木 烟草 香草 皮革 琥珀 黄葵,
879092,香奈儿,可可小姐馥郁版,Chanel Coco Mademoiselle Intense,2018,橙子 香柠檬 柠檬,玫瑰 果香 茉莉,广藿香 香草 零陵香豆 麝香 劳丹脂,
113878,香奈儿,之水系列,巴黎-巴黎 Chanel Paris – Paris,2022,柑橘 粉红胡椒 柠檬,玫瑰,广藿香,
392220,香奈儿,珍藏系列-岛屿森林,Chanel Bois des Iles,1926,醛 芫荽 橙花油 桃子 香柠檬 橘子,依兰 鸢尾花 鸢尾根 茉莉 玫瑰 紫丁香 铃兰,檀香木 琥珀 安息香脂 零陵香豆 红没药 香草 麝香 香根草,
966334,香奈儿,珍藏系列-狮子,Chanel Le Lion de Chanel,2020,香柠檬 柠檬,劳丹脂 琥珀,香草 广藿香 麝香 檀香木,
