fragrance,count
木质花香调,247
木质调,200
花香调,172
东方花香调,162
木质东方调,144
玫瑰花香调,140
花果清新调,128
木质清新调,122
草香清新调,117
花果甜美调,94
柑橘花香调,88
诱人美食调,76
东方清新调,61
东方调,60
柑苔调,55
茶香清新调,51
柑橘清新调,43
柑橘调,35
水生花香调,30
海洋清新调,18
东方花果调,15
皮革香调,7
