name,description,fragrance,top_notes,middle_notes,base_notes,detail_url
Lattafa Yara 雅拉女性淡香精,Lattafa 拉塔法 杜拜沙龍香,東方花果調 、 誘人美食調,蘭花、天芥菜、柑橘,美食調、熱帶水果,香草、麝香、檀香,https://www.1976.com.tw/prod/23309
Monotheme Tuberose 吟遊詩人 晚香玉女性淡香水,,東方花香調,椰子、苦橙葉,晚香玉、白色花系,香草、琥珀、雪松,https://www.1976.com.tw/prod/23306
Burberry Her 花與她花漾限定淡香精,一噴上去就是滿滿甜甜的莓果香味啊～喜歡甜調的女孩一定會喜歡這一支！果香很濃厚，到後面才會轉變成微微花香，個人覺得很適合25歲以下活潑可愛俏皮的女孩。,花果甜美調,黑加侖、藍莓、覆盆莓,茉莉、紫羅蘭,琥珀、麝香,https://www.1976.com.tw/prod/23299
Carolina Herrera 212 VIP Rose Elixir 迷醉派對女性淡香精 TESTER,味道完全就跟瓶身的金蔥設計一樣浮誇，要去派對絕對可以穿它出門！整體的氣味非常的甜也帶一點玩味的野，層次鮮明的水果調前味轉為單一的花香調，可以說是前身的派對2.0版本,玫瑰、桃花香調、小蒼蘭,,,香草、廣藿香、麝香,https://www.1976.com.tw/prod/23298
【身體系列】Issey Miyake 三宅一生一生之水海映依蘭極致護手霜,"全新 海映依蘭極致淡香精 與 蔚藍冷杉淡香精
與 聯合國教科文組織 1Ocean 項目合作
用嗅覺潛入深海 置身神祕海洋",花香調,海神草、薑、荳蔻,依蘭依蘭、大馬士革玫瑰,香草,https://www.1976.com.tw/prod/23291
Chloe Cedrus Intense 仙境花園 北國雪松精粹淡香精,香氛的三大核心木質香氣進入演變，北國雪松極致融合了中國雪松、印度沙岩蘭草和澳大利亞檀香。每種木材都展現了各自面貌，將獨特的香氣完美融入其中。,木質花香調 、 皮革香調,佛手柑、小豆蔻,皮革、玫瑰,檀香、雪松、香根草、琥珀,https://www.1976.com.tw/prod/23277
Sarah Jessica Parker Lovely 慾望城市限量版女性淡香精,限量版瓶身，莎拉潔西卡派克慾望城市的愛用者一定要有！,,柑橘、佛手柑、黃檀紅木、薰衣草、馬丁尼酒、蘋果,廣藿香、蘭花、白胡椒,雪松、白琥珀、麝香、木質香、鹽,https://www.1976.com.tw/prod/23274
Ariana Grande Cloud Pink 粉紅雲朵淡香精,一直很想要找甜甜又帶點奶香味的香水，上網搜了好多資料終於決定要買這支香水，外型完全是我的菜，超級美～香味就像是椰子糖，但又不會太過甜膩，是一種很柔軟的香味，喜歡食物味的甜香水一定要買這支，超級推薦！！,誘人美食調 、 花果甜美調,火龍果、野莓、鳳梨,椰子水、香草蘭、黃葵,果仁糖、麝香、琥珀木、苔蘚,https://www.1976.com.tw/prod/23273
Elizabeth Arden 5th Avenue NycVibe 第五大道 紐約風情女性淡香精,靈感源自紐約這座城市的精緻與活力。清新爽口的果香包裹著茉莉的馥鬱花香，尾調則以令人陶醉的白廣藿香收尾。清新明亮，散發著波希米亞式的時尚魅力。,花果甜美調,威廉梨、紅醋栗、油桃,紫羅蘭、小蒼蘭、茉莉、玫瑰,白廣藿香、木質調、椰子水、麝香,https://www.1976.com.tw/prod/23268
Juicy Couture Viva La Juicy Petal Please 花境女性淡香精 TESTER,「花境女性淡香精」承襲Viva La Juicy系列一貫的粉色系元素，粉紅色漸層瓶身加上中間的粉色金屬牌展現貴氣又大膽的樣貌，而細緻之處則展現於帶有粉色寶石的磨砂花吊飾，以及水晶玻璃瓶蓋上注入的深淺色花瓣，充分展現這瓶香氛所帶來的活力樣貌。,玫瑰花香調 、 誘人美食調,睡蓮、漿果、白木蘭,小蒼蘭、埃及茉莉、梔子花、玫瑰水,琥珀、香草、海鹽焦糖,https://www.1976.com.tw/prod/23260
Giorgio Armani My Way Parfum 無畏版女性香精 TESTER,雖然是柑橘花香調，但噴在身上有一股麻古葡萄果粒波波的感覺，應該是苦橙帶出像綠茶的青澀感、晚香玉跟香草營造出甜甜濃郁的香氣，很可愛的味道,木質花香調 、 柑橘花香調,橙花、佛手柑,印度晚香玉、法國香根鳶尾,香草、雪松,https://www.1976.com.tw/prod/23258
D&G The only one Intense 女性淡香精,非常推薦給女人穿這一瓶，性感甜甜的果香味，還帶有一股冷艷，讓人想接近一窺究竟，適合出遊，正式場合也能用，總之百搭啊！,東方花果調,"橙花, 青蘋果、柑橘",茉莉、椰子、橙花,香草、喀什米爾木、雪松,https://www.1976.com.tw/prod/23256
Marc Jacobs Daisy Wild Intense 極野之露女性淡香精,極野之露淡香精，靈感來自大自然中隱藏的獨特寶藏與經歷，捕捉了意外冒險的野性。擁有明亮的香蕉花香、性感的茉莉花香和溫暖的琥珀基調，極野之露淡香精是款充滿活力、自由奔放精神的讚頌。,花香調,香蕉花,茉莉花,琥珀、岩蘭草、檀香木,https://www.1976.com.tw/prod/23254
Marc Jacobs Daisy Wild 綠野之露女性淡香精行動香氛,很喜歡前調的香蕉熱帶花味，是在夏天也能接受的甜。中間的優雅茉莉配上堅果溫潤，十分耐聞，最後香根草的清新，讓整體氣息柔和而又富有層次。看到靈感來自野花花束，的確有讓人在大自然中漫步、隨手攏起花草用力一聞的感覺。,花香調,香蕉花,茉莉花、澳洲堅果,檀香、香根草,https://www.1976.com.tw/prod/23253
Kenzo Flower L'Absolue 罌粟花摯紅淡香精,罌粟花摯紅 歌詠KENZO對花朵的摯愛。以保加利亞玫瑰與誘人的橙花糅合為極致花香中調，後半段加入香草，為整體的芬芳旋律再掀高潮。,花香調 、 玫瑰花香調,番紅花,大馬士革玫瑰、橙花,香草,https://www.1976.com.tw/prod/23251
Penhaligon's 潘海利根迷你香水禮盒 三入組,"送禮首選！ 內含皇家橡樹、黑玫瑰、LUNA 月亮女神各5ML

*開瓶時請用拔的，不要旋轉瓶蓋喔！",,,,,https://www.1976.com.tw/prod/23246
Penhaligon's Daphne Bouquet 潘海利根達芙妮花束女性淡香精,潘海利根2025全新皇室聯名新作！「達芙妮花束淡香精」,花香調,茉莉、佛手柑、瑞香花、黑醋栗、黑醋栗葉、苔藓,,,https://www.1976.com.tw/prod/23236
CREED Eladaria 晨曦玫瑰淡香精,探索 Eladaria，一款現代花香調女香，捕捉了黎明時分籠罩在銀色薄霧中的三朵玫瑰的芬芳。,玫瑰三重奏、牡丹、鈴蘭、粉質香調,橘子、香檸檬、粉紅胡椒,,麝香、梵尼蘭、降龍涎香醚、羊絨木,https://www.1976.com.tw/prod/23233
Marina de Bourbon Cristal Royal L’Eau 瑪莉安娜天青漣漪女性淡香精迷你瓶,清新明亮的香味，如同浸入清澈的水中。 Cristal Royal L'Eau 喚起了公主尋求閃亮感覺和溫柔刺激時的清新和無憂無慮的天性。這款淡香水散發出清新花香，帶有植物和柔嫩的色調。,茶香清新調 、 水生花香調,香檸檬、紫羅蘭葉、黑胡椒,蓮花、瑪黛茶、金合歡,雪松、白麝香、檀木,https://www.1976.com.tw/prod/23231
Kilian Love Don't be shy 大膽愛淡香精行動香氛,《Love Don't be shy》以初戀的純真在多汁的金銀花和豐腴的玫瑰中展現，被甜美的棉花糖香調溫柔地撫慰，滿足著初戀的渴望。溫暖的琥珀基調賦予一絲悸動的感性，暗示著即將深入了解另一個靈魂的可能性。,東方花香調,橙花、佛手柑、粉紅胡椒、香菜,橙花、金銀花、茉莉、鳶尾花、棉花糖、玫瑰,糖 、香草、焦糖、麝香、岩薔薇,https://www.1976.com.tw/prod/23215
Kilian Rolling In Love 纏綿淡香精(墜入愛河)行動香氛,,東方花香調,香葵籽、杏仁牛奶,鳶尾花、小蒼蘭,零陵香豆、香草、晚香玉、麝香,https://www.1976.com.tw/prod/23214
Kilian Good Girl Gone Bad 狂野淑女淡香精行動香氛,白鹿、羅雲熙推薦的香水，如少女般的純情桂花與茉莉的花香，而中後調逐漸瀰漫開來的是撩人且魅惑的晚香玉，從清純轉變到性感的反差香水！,花香調,桂花、橙花、五月玫瑰,晚香玉、茉莉、水仙花,琥珀、雪松,https://www.1976.com.tw/prod/23213
Kilian Woman In Gold 金衣女人淡香精行動香氛,Kilian Woman In Gold 金衣女人淡香精 從玫瑰到晚香玉，從橙花到梔子花……Kilian的花朵如同麻醉劑般令人沉醉。,東方花香調,佛手柑、醛香、柑橘,香草精油、玫瑰、天竺葵、小蒼蘭,香草、阿基加拉木、零陵香豆、廣藿香、麝香,https://www.1976.com.tw/prod/23211
Michael Kors 經典女性淡香精迷你瓶,Michael Kors 經典女性淡香精就像一條被陽光親吻的金鏈，散發出優雅、美麗和力量。香調層次豐富，尾韻持久,東方花果調,粉紅胡椒、柑橘、黑加侖,保加利亞玫瑰、茉莉、鈴蘭,廣藿香、香草、麝香,https://www.1976.com.tw/prod/23194
Michael Kors 經典女性淡香精,Michael Kors 經典女性淡香精就像一條被陽光親吻的金鏈，散發出優雅、美麗和力量。香調層次豐富，尾韻持久,東方花果調,粉紅胡椒、柑橘、黑加侖,保加利亞玫瑰、茉莉、鈴蘭,廣藿香、香草、麝香,https://www.1976.com.tw/prod/23193
Valentino Born In Roma Green Stravaganza 訂製羅馬綠色奢華女性淡香精,由感性的立山小種茶香調和馥鬱的茉莉花完美融合而成，開啟一段全新的旅程。,茶香清新調 、 花香調,立山小種茶,茉莉,香草,https://www.1976.com.tw/prod/23192
Karl Lagerfeld Fleur D'Iris 紫霧鳶尾花女性淡香精 TESTER,一開始的時候味道很濃烈，有點嚇到，但後續就慢慢散開來了，草木的味道偏重，不像一般的鳶尾花香，多一個粉味，中間的時候會有一點覺得像在清晨的公園，花草還有露水的樣子，很舒服，很適合女生，有點氣質、知性，溫柔那類型,花香調,柑橘、橙花,鳶尾花,香草、天芥、麝香,https://www.1976.com.tw/prod/23182
Armaf Odyssey Dubai Chocolat 杜拜巧克力女性淡香精,Armaf Odyssey Dubai Chocolat 杜拜巧克力女性淡香精 的瓶身設計非常獨特，帶有一種「玩具感的時尚」，瓶身近似一個迷你「隨行保溫瓶」造型，上方有把手，增加了可愛又實用的聯想。粉嫩的開心果綠與咖啡色搭配，間條紋路帶出俏皮甜美氛圍，既甜美可愛又帶有冒險旅程的故事感。,誘人美食調,咖啡、開心果、克納夫、果仁糖、榛果,巧克力、香草、小荳蔻,焦糖、琥珀木、零陵香豆,https://www.1976.com.tw/prod/23161
Giorgio Armani My Way Parfum 無畏版女性香精 補充瓶,雖然是柑橘花香調，但噴在身上有一股麻古葡萄果粒波波的感覺，應該是苦橙帶出像綠茶的青澀感、晚香玉跟香草營造出甜甜濃郁的香氣，很可愛的味道,木質花香調 、 柑橘花香調,橙花、佛手柑,印度晚香玉、法國香根鳶尾,香草、雪松,https://www.1976.com.tw/prod/23160
Giorgio Armani My Way Parfum 無畏版女性香精,雖然是柑橘花香調，但噴在身上有一股麻古葡萄果粒波波的感覺，應該是苦橙帶出像綠茶的青澀感、晚香玉跟香草營造出甜甜濃郁的香氣，很可愛的味道,木質花香調 、 柑橘花香調,橙花、佛手柑,印度晚香玉、法國香根鳶尾,香草、雪松,https://www.1976.com.tw/prod/23159
Valentino Born In Roma Yellow Dream 女性淡香精,佛手柑和檸檬融合馥郁的土耳其玫瑰及麝香，展現清新玩味花香麝香調,玫瑰花香調 、 柑橘清新調,檸檬,大馬士革玫瑰,白麝香,https://www.1976.com.tw/prod/23158
Issey Miyake peony 三宅一生 一生之水牡丹女性淡香水行動香氛,陽光奔放灑落於優雅高貴牡丹，綻放無與倫比的誘人魅力！調香師Marie Salamagne克服艱難挑戰，以一生之水牡丹淡香水捕捉大自然中牡丹動人且難以駕馭的樣貌。,木質花香調,牡丹花,白色覆盆子,雪松木,https://www.1976.com.tw/prod/23150
Ralph Lauren Ralph 花漾年華女性淡香水 TESTER,多年前還在學生時期跟1976買的，是我非常喜歡的果香，真的就像前面網友所形容一噴上就像咬下香甜多汁的蘋果，非常甜美又清爽，到現在香味依舊沒變，我對他的喜愛也依舊不變。,花果甜美調,柑橘、蘋果葉,粉紅木蘭花、紫色小蒼蘭,麝香,https://www.1976.com.tw/prod/23138
Marly Palatine 帕拉丁娜女性淡香精行動香氛,Palatine 的靈感來源於巴伐利亞的伊莉莎白-夏洛特公主，她是一位聰明、直率且敢於挑戰傳統的歷史人物，通過獨特的紫羅蘭花瓣和薰衣草組合，Palatine 以現代精神重新詮釋了經典花香。,木質花香調,佛手柑、柑橘、梨子⠀,紫羅蘭花瓣、薰衣草、花束,檀香木、麝香、香草、廣藿香,https://www.1976.com.tw/prod/23136
Marly Delina La Rosee 德利納玫瑰精露淡香精行動香氛,18世紀的法國貴族，習慣隨身攜帶清晨大自然露水沾濕的手帕，用來隨時保濕臉部。而這正也是Delina La Rosée德利納 _ 玫瑰精露淡香精的創作靈感來源。時空背景的替換，18世紀的香氛奢華榮景已成為復古的記憶，但其精緻典雅的精神依然流傳，Delina La Rosée德利納 _ 玫瑰精露淡香精傳承了，對於大自然元素中，那一股精緻奢華的歌頌。⠀,玫瑰花香調 、 花果清新調,佛手柑精油、荔枝精粹、香梨果⠀,土耳其玫瑰、牡丹花、山荷葉花⠀,岩蘭草精油、綜合松柏木、白麝香⠀,https://www.1976.com.tw/prod/23132
Chloe Nomade Nuit d’Egypte 芳心之旅夜幕精粹女性淡香精迷你瓶,香甜的香草橙花+kyphi，非常奇特的香味，非常罕見不會撞香，跟Chloe其他系列的味道，辨識度極高，帶著輕微的復古氣息和深度。,東方花香調,沒藥、樹脂、薑、肉桂,橙花、金雀花、kyphi,香草、香脂、琥珀、紙莎草,https://www.1976.com.tw/prod/23126
Kilian Playing With The Devil 惡魔遊戲女性淡香精,Kilian Playing With The Devil 惡魔遊戲淡香精，酸澀的血橙精華和略帶玫瑰氣息的荔枝果香，與胡椒味的甜椒漿果精華交相輝映。基調中柔滑的檀香木散發出灼熱的氣息，為驚心動魄的邂逅增添一絲俏皮。,東方花香調,黑醋栗、白桃、荔枝、血橙,百香果、胡椒、玫瑰、茉莉,香草、檀香、廣藿香、雪松、安息香、零陵香豆,https://www.1976.com.tw/prod/23121
Kilian Can't Stop Loving You 情不自矜女性淡香精,Can't stop loving You 是一款慶祝愛情的香水。,花香調 、 柑苔調 、 誘人美食調,橙花、Paradisone,蜂蜜、勞丹脂、安息香,橡苔、香草、乳香,https://www.1976.com.tw/prod/23120
Chanel Gardenia 香奈兒精品香水 梔子花淡香水迷你瓶,山茶花，完美的花朵，令人忘卻它芬芳的優雅。它是可可·香奈兒的象徵，她以山茶花的形象調製了一款香水，並命名為GARDÉNIA。一款清新感性的花蜜。,花香調,綠葉,梔子花、果香、椰子,香草,https://www.1976.com.tw/prod/23115
Kilian Woman In Gold 金衣女人淡香精,Kilian Woman In Gold 金衣女人淡香精 從玫瑰到晚香玉，從橙花到梔子花……Kilian的花朵如同麻醉劑般令人沉醉。,東方花香調,佛手柑、醛香、柑橘,香草精油、玫瑰、天竺葵、小蒼蘭,香草、阿基加拉木、零陵香豆、廣藿香、麝香,https://www.1976.com.tw/prod/23113
YSL Libre L'Absolu Platine 自由不羈冷冽鉑金限量版女性淡香精行動香水,東方花香調無誤，很濃郁，花香中帶著一絲冷意，但冷熱中間調配得很好，不過於清冷，又帶有距離感，像火中之水的感覺，香味非常持久，,東方花香調,醛、佛手柑、柑橘,白色薰衣草、藍色薰衣草、橙花,香草、琥珀,https://www.1976.com.tw/prod/23106
Gucci Bloom Ambrosia di Fiori 花悅馥意女性淡香精迷你瓶,在我身上是清香的茉莉花的香氣，一直都很清爽，而且明亮。用明亮形容香氣，因為它的香氣不會悶。持香很久，12小時後，貼膚都聞得到那令人心中喜悅的明亮香氣。,花香調,茉莉花蕊精萃、使君子,印度晚香玉,大馬士革玫瑰、天鵝絨鳶尾草,https://www.1976.com.tw/prod/23105
My Burberry Black 黑色女性香精版本 Parfum,濃郁的花香伴隨著甜而不膩的香味，味道非常持久，有質感的花香味，適合秋冬噴在大衣上，溫暖又迷人，噴在頭髮上更是增添女人味，讓妳的男人愛不釋手。,玫瑰花香調,茉莉,蜜桃、糖漬玫瑰,琥珀、廣藿香,https://www.1976.com.tw/prod/23099
Dior J'adore 迪奧真我宣言女性淡香精迷你瓶-奇幻星願限量版,花香高雅，帶一點甜蜜。一切恰到好處。雙瓣茉莉花、依蘭依蘭，讓人想起仲夏夜晚的迷宮花園。很嬌媚，跟她相處是舒服慵懶的。迷你瓶太可愛，幾乎是等比例。淡香精是典雅的金黃，值得玩賞收藏。,,柑橘、黑醋栗、鳳梨、蜜瓜、荷花、蓮花,五月玫瑰、茉莉,鳶尾蘭、香草、檀香木、栗樹、琥珀,https://www.1976.com.tw/prod/23098
Prada Paradoxe Virtual Flower 我本莫測 幻花香境女性淡香精迷你瓶,茉莉、琥珀、波旁香草蠻明顯，前中味我只大致能分得出茉莉以及蠻高級的香甜味，但聞不出太多細節。蠻省用量，過四五小時還是可以聞到身上有這個香味。覺得算是花果甜美同時也兼具香草甜美，卻又不會太甜，聞起來真的蠻有層次也很高級。,柑橘花香調,佛手柑,茉莉、橙花,麝香、黃葵籽,https://www.1976.com.tw/prod/23095
Miss Dior Essence 極緻香精迷你瓶,味道很濃郁，下午都不用再補香，個人感覺四季都適合，甜美的花果香，用量省。,木質花香調 、 花果甜美調,果醬、野生黑莓、接骨木花,星辰茉莉、粉紅茉莉、雙瓣茉莉,琥珀、雪松、煙燻橡木,https://www.1976.com.tw/prod/23092
DKNY Be Delicious Orchard St 活力紐約蘋果女性淡香精,DKNY Be Delicious Orchard St 活力紐約蘋果女性淡香精，活力多汁粉紅佳人蘋果和粉紅葡萄柚碰撞出討喜果香。,木質花香調 、 花果甜美調,粉紅佳人蘋果、粉紅葡萄柚、黑醋栗、粉紅胡椒,茉莉花、鳶尾草、黑莓、石榴,雪松、皮革、琥珀木、麝香,https://www.1976.com.tw/prod/23086
Paco Rabanne Million Gold 百萬黃金女性淡香精,百萬金女香散發著令人心醉的能量，讓你沉醉於黃金的芬芳。這款香水融合了濃鬱女性氣息的白花、閃耀的玫瑰和令人沉醉的礦物麝香。,木質花香調 、 東方花香調,梨子、玫瑰、薰衣草,依蘭、茉莉,香草、麝香、苔蘚,https://www.1976.com.tw/prod/23084
【身體系列】Narciso Rodriguez Oriental Musc 東方麝香髮香噴霧,"輕盈的噴霧可以使秀髮美麗與充滿香氣。
性感且持久，讓頭髮沒有沉重和油膩的負擔。",,,,,https://www.1976.com.tw/prod/23081
【身體系列】Narciso Rodriguez FOR HER 髮香噴霧,"輕盈的噴霧可以使秀髮美麗與充滿香氣。
性感且持久，讓頭髮沒有沉重和油膩的負擔。",,,,,https://www.1976.com.tw/prod/23080
Marly Delina 德利納女性淡香精,Delina德利納的花香逼真，猶如活生生的花束雕刻。土耳其大馬士革玫瑰搭配著山谷百合以及牡丹，猶如身在散發出一股難以抵抗的花香魅力。,玫瑰花香調 、 花果甜美調,佛手柑、荔枝、大黃、牡丹,大馬士革玫瑰、香草、麝香,海地香根草、雪松、乳香,https://www.1976.com.tw/prod/23055
Montale Roses Musk 玫瑰麝香女性淡香精,會認識這瓶香水是親友推薦的，一開始不懂她的魅力，但試噴過一次後就深深愛上這個味道。而味道帶有一股甜而不膩的果香味，通常甜味的香水味道比較快散掉，但這瓶味道我覺得持久度還不錯，也推薦給其他網友。,玫瑰花香調,玫瑰、麝香、茉莉花,,,https://www.1976.com.tw/prod/23020
Paco Rabanne Million Gold 百萬黃金女性淡香精迷你瓶,百萬金女香散發著令人心醉的能量，讓你沉醉於黃金的芬芳。這款香水融合了濃鬱女性氣息的白花、閃耀的玫瑰和令人沉醉的礦物麝香。,木質花香調 、 東方花香調,梨子、玫瑰、薰衣草,依蘭、茉莉,香草、麝香、苔蘚,https://www.1976.com.tw/prod/23010
Ormonde Jayne 同名女性香精,以黑鐵杉精油的獨特香味開始和結束 - 很少使用如此甜美的品質和數量，這種完全催眠、非傳統和神秘的木質精華與茉莉和紫羅蘭精油相結合，創造出一種昏暗、誘人的香水。,,小荳蔻、芫荽、青草精油,紫羅蘭、茉莉、黑鐵杉,香根草、雪松木、琥珀、檀香,https://www.1976.com.tw/prod/22983
Missoni 日出之水女性淡香水 TESTER,前味甜蜜多汁，如瓶身般耀眼；中味花香輕柔，緩緩過渡至高雅的木質後味，優美而耐人尋味，辨識度高且香氛持久！我不愛甜香，卻鍾情她的中後味，於是睡前噴灑衣裳，日出後讓她陪伴一整天。,木質花香調,血橙、水晶梨、粉紅色漿果、睡蓮萃取,小蒼蘭、牡丹、薔薇葉、玫瑰水精華,麝香、天芥菜、白雪松、喬治木,https://www.1976.com.tw/prod/22961
Narciso Rodriguez Radiante 棉光絮語女性淡香精,"溫柔的麝香+棉花香水，宛如愛人在耳畔呢喃的溫柔感~
很清淡的花香木質味，盲買款～完全不雷！20～40年齡階段都適合的香味，心情不佳的時候，噴上她都幸福起來了！",木質花香調,橙花、丁香花,麝香、棉花,雪松、香根草,https://www.1976.com.tw/prod/22944
Narciso Rodriguez for her Intense 同名馥郁版女性淡香精 TESTER,Narciso Rodriguez 在2025年推出 for her Intense 同名馥郁版女性淡香精，捕捉新的情緒，詮釋馥郁氛圍。香氛以標誌性麝香作為基調，強調for her系列的精髓，迷人香氣融合白色花朵和馥郁香草，攝人心魄。,柑苔調 、 花果甜美調,蜜桃、佛手柑,白色花卉、紅色彼岸花、麝香,岩蘭草、苔蘚、香草、琥珀木質調,https://www.1976.com.tw/prod/22920
Givenchy Irresistible Very Floral 紀梵希傾城花舞女性淡香精,Givenchy Irresistible Very Floral 紀梵希傾城花舞女性淡香精，以濃鬱迷人的玫瑰花香為核心，散發迷人魅力。紀梵希的嗅覺技藝將千葉玫瑰與玫瑰精油結合，完美詮釋了 Irresistible 玫瑰系列的花香與濃鬱的女性氣質。,麝香錦葵、陽光香調、辛香料、雪松木,椰子水、黑醋栗、佛手柑,玫瑰、格拉斯玫瑰、鳶尾花、依蘭、茉莉,,https://www.1976.com.tw/prod/22918
Givenchy Irresistible Rose Velvet 紀梵希傾城玫瑰絲絨女性淡香精,2022年Givenchy Irresistible Rose Velvet 紀梵希傾城玫瑰絲絨女性淡香精隆重推出，全新花香迷戀系列，以絲絨般的玫瑰香氛包裹精緻的白廣藿香。肌膚相親，柔情似水，令人難以抗拒。,玫瑰花香調 、 木質花香調,粉紅胡椒、黑加侖、橙花,土耳其玫瑰、土耳其玫瑰水、鳶尾花、玫瑰麝香,廣藿香、木質調,https://www.1976.com.tw/prod/22917
Givenchy Irresistible Fraiche 紀梵希傾城清新女性淡香水,甜美的玫瑰與麝香、雪松的包圍調情，散發出一種天生不可抗拒的強大磁性魅力。,玫瑰花香調 、 花果清新調,粉紅胡椒、甜橙,土耳其玫瑰、土耳其玫瑰水、鳶尾花,雪松、白麝香,https://www.1976.com.tw/prod/22916
Nina Ricci Nature 粉綠泡泡女性淡香水,充滿純淨、閃亮的清新氣息，Nina Nature 的綠色花香將您帶到戶外，就像在晨露中採摘的新鮮蘋果一樣，這款香水純淨而令人精神煥發。,花果清新調,青蘋果、檸檬,鈴蘭、茉莉,白麝香、香草,https://www.1976.com.tw/prod/22886
YSL Black Opium 黑鴉片女性香精 Le Parfum,溫暖的香草香水，帶有咖啡和白花的香氣。,東方花果調 、 誘人美食調,西洋梨、肉桂、綠柑橘,橙花 、茉莉 、太陽筆記,馬達加斯加香草、波旁香草、香草精、香草蘭、咖啡、廣藿香,https://www.1976.com.tw/prod/22885
Mugler Angel Fantasm 黑天使幻想女性淡香精,這是一款多汁、令人垂涎且大膽的香水，可以釋放我們最深的幻想。,誘人美食調,鳳梨、佛手柑,椰子、梔子花,廣藿香、香草、琥珀,https://www.1976.com.tw/prod/22882
Kenzo Flower Ikebana 花之道女性淡香精,KENZO在系列中的首款花卉香氛中向日本最具象徵意義的花朵：櫻花致敬。Kenzo Flower Ikebana 花之道淡香精先是融合了蕎麥茶及櫻花香，帶出純日式的香氣，再以晚香玉、茉莉加強花香的存在感，最後以珍貴的檀香木香氣來給予溫潤的收尾。,木質花香調,蕎麥花、櫻花,晚香玉、茉莉,檀香木,https://www.1976.com.tw/prod/22869
Versace Crystal Noir Parfum 凡賽斯星夜水晶女性香精,檀香加上花香的味道讓人覺得舒服安心的感覺，帶著一點點氣質神秘的氣息，而且味道持久度超級好，不用一直補，中後調也不會差很多，超級喜歡。,東方花香調,小荳蔻、胡椒、生薑,梔子花、牡丹、橙花,琥珀、檀香、麝香,https://www.1976.com.tw/prod/22863
Yardley English Jasmine 英國茉莉淡香水,Yardley English Jasmine 英國茉莉淡香水 是一款華麗的白色花香香水，帶有閃亮的檸檬和柑橘前調，交織著金桔和赤素馨花的細膩香調，與茉莉和晚香玉的濃鬱花香中心相得益彰，最後以珍貴的麝香和雪松木為基調。,花香調,檸檬、柑橘、金桔、雞蛋花,晚香玉、茉莉、小荳蔻、黑醋栗,麝香、雪松、蘋果樹,https://www.1976.com.tw/prod/22848
Yardley Gardenia&Cassis 梔子花與黑醋栗淡香水,梔子花與黑醋栗淡香水是一款果味、白色花香的香水，以充滿活力的黑醋栗和果花前調開場，結合濃鬱、奶油般的梔子花香以及木質、琥珀基調。,花果清新調,梨花、黑加侖、桃子、柑橘、莫希托調酒,茉莉、玫瑰、梔子花、丁香、梨子,廣藿香、乾琥珀、檀香木,https://www.1976.com.tw/prod/22847
Yardley English Daffodil 水仙淡香水,英國水仙花淡香水是一款充滿活力、充滿陽光的綠色、木質和花香的香水，其充滿活力和明亮的前調是葡萄柚花和檸檬皮，與水仙花、鈴蘭和茉莉花的花香中心完美結合，包裹著麝香、雪松和琥珀的香氣。,柑橘花香調,葡萄柚花、檸檬皮、青蘋果、桃子,鈴蘭、茉莉、玫瑰、牡丹、水仙花,雪松、香雪蘭、麝香、琥珀,https://www.1976.com.tw/prod/22845
Yardley Orchid & Vanilla 蘭花香草淡香水,甜美怡人的白色花香調香水，前調由柑橘、柔和的桃子、梨子和依蘭的芬芳構成，逐漸演變成橙花和蘭花的中調，並包裹在溫暖奢華的麝香、香草和琥珀基調之中。,東方花果調 、 柑橘花香調,柑橘、桃子、梨、依蘭依蘭,橙花、提亞蕾花、蘭花,麝香、香草、安息香、琥珀,https://www.1976.com.tw/prod/22842
Baldessarini Bella Mare 蓓拉湛藍女性淡香精,開香的果香味非常的舒適好聞，中調的海洋調與花香也不會太搶調，後調柔柔的聞起來很舒服，個人覺得適合各種年齡層的女性使用。,海洋清新調 、 花果清新調,梨子、佛手柑、粉紅胡椒,忍冬、牡丹、海洋調,海鹽、檀香、雪松,https://www.1976.com.tw/prod/22838
Agent Provocateur Cosmic 密使宇宙女性淡香精,富含輕熟女的韻味〜溫柔、不黏膩！一試變愛上〜是男生也喜歡聞的味道。,花果甜美調,大黃、Mojito、梨子,牡丹、茉莉,雪松、香草蘭花,https://www.1976.com.tw/prod/22829
Valentino Donna Born In Roma Coral Fantasy 訂製羅馬珊瑚幻想女性淡香精,Valentino 2022年推出Born In Roma Coral Fantasy 訂製羅馬珊瑚幻想，靈感來自羅馬街頭這個魔幻時刻的能量。,花果甜美調,血橙、奇異果,玫瑰、茉莉、麝香錦葵,麝香、雪松,https://www.1976.com.tw/prod/22828
Jessica McClintock LOVE 女性淡香精,溫柔的花香，味道輕盈淡雅，噴在衣物織品上味道也很舒服。,花香調,粉紅胡椒、柚子、白茶,梔子花、茉莉花、晚香玉,麝香、琥珀木、雪松,https://www.1976.com.tw/prod/22826
Narciso Rodriguez for her Intense 同名馥郁版女性淡香精,Narciso Rodriguez 在2025年推出 for her Intense 同名馥郁版女性淡香精，捕捉新的情緒，詮釋馥郁氛圍。香氛以標誌性麝香作為基調，強調for her系列的精髓，迷人香氣融合白色花朵和馥郁香草，攝人心魄。,柑苔調 、 花果甜美調,蜜桃、佛手柑,白色花卉、紅色彼岸花、麝香,岩蘭草、苔蘚、香草、琥珀木質調,https://www.1976.com.tw/prod/22803
