name,description,fragrance,top_notes,middle_notes,base_notes,detail_url
Miss Dior Parfum 香精,就是大愛的味道 非常持香 花香味很重 超喜歡!! 很耐聞 而且可以香一整天 第一次去試聞的時候就直接愛上這味道了 :),野草莓、花香調、茉莉花,杏子、柑橘、桃子,,廣藿香、琥珀木、琥珀、苔蘚、雪松,https://www.1976.com.tw/prod/22044
Dolce & Gabbana Q 女王悸動淡香精,其實是清新活潑的果香，是連少女都可以用的味道，跟瓶身的女王感呈現超大反差~,花果清新調,西西里檸檬,櫻桃,雪松,https://www.1976.com.tw/prod/20788
YSL Libre 自由不羈女性淡香精(自由之香),剛噴的時候感覺是暖香，漸漸帶出粉調的薰衣草花香，持香度特高，像穿著時尚的韓劇女主角會使用的香水。是不落俗套的一款!,東方花香調,柑橘、薰衣草、黑醋栗、苦橙葉,茉莉、橙花、薰衣草,雪松、龍涎香、麝香、香草,https://www.1976.com.tw/prod/17468
Guerlain Chamade 嬌蘭愛之鼓女性淡香水(2021),嬌蘭老香總令人迷戀，美麗的綠意花香，有濃濃皂感，尾調餘韻嬝嬝，謎之魔力。,東方花香調,白松香、風信子,依蘭依蘭、黑醋栗花蕾、茉莉花,香草、檀香,https://www.1976.com.tw/prod/21901
Chloe Rose Naturelle Intense 綠漾玫瑰精粹女性淡香精,用過2款Chloe香水，這支伴隨玫瑰甜甜的花香，在寒冷的冬天格外溫暖，留香持久，喜歡濃郁玫瑰香的香氣，不用考慮，趕緊收編。,玫瑰花香調 、 木質花香調,佛手柑,橙花、玫瑰,檀香、雪松,https://www.1976.com.tw/prod/20510
Salvatore Ferragamo Incanto Shine 閃耀光采女性淡香水,完全就是夏天的香水，而且天氣越熱越好聞！不夠熱的時候它的味道反而顯得刺鼻。前面是清爽醒神的鳳梨和百香果，融合體溫後慢慢散發出氣質花香～就算過了一整天也還能在衣服上聞到淡淡的香氣～,花果清新調,鳳梨、百香果、佛手柑,小蒼蘭、粉紅牡丹、桃子,白雪松木、琥珀、麝香,https://www.1976.com.tw/prod/3927
Dolce & Gabbana Q Intense 女王悸動極致淡香精,其實是清新活潑的果香，是連少女都可以用的味道，跟瓶身的女王感呈現超大反差~,花果清新調,黑櫻桃,天芥菜,琥珀,https://www.1976.com.tw/prod/23003
Chloe Rose Naturelle Intense 綠漾玫瑰精粹女性淡香精 TESTER,,玫瑰花香調 、 木質花香調,佛手柑,橙花、玫瑰,檀香、雪松,https://www.1976.com.tw/prod/20512
Gucci Guilty Elixir de Parfum 罪愛女性香精,精緻的紫藤花香調和曼陀羅的果香完美融合，與誘人的香草氣息、香豆樹的豆子共舞，創造出一款既神秘又吸引人的香氣。玫瑰和紫羅蘭香調提升了香氣，為其優雅的性感注入四射的光芒。,東方花香調,紫藤花,香草,荳蔻,https://www.1976.com.tw/prod/22850
Versace Crystal Noir 凡賽斯星夜水晶女性淡香水,非常喜歡，沒想到耶子跟梔子花融合在一起這麼美妙，原本擔心會是很濃艷的香水，沒想到是如此優雅的香味,木質花香調 、 東方花香調,黑醋栗、無花果、紫羅蘭,茉莉、晚香玉、雞蛋花,檀香木、喀什米爾木、香草、天芥菜,https://www.1976.com.tw/prod/2753
Issey Miyake 三宅一生一生之水女性淡香精版本,當今天的上班服是白襯衫加長裙或是優雅風的長洋裝，那一定會穿戴一生之水了。一生之水完全襯托女人的優雅，彷彿手捧白色百合，走在典雅大器的別墅大廳，那樣雍容脫俗，很適合氣質型的妳~這支水生花香調並不會讓我暈香，持香、擴香都非常好，我很喜歡!,水生花香調,睡蓮、鳶尾科植物、櫻草屬植物、玫瑰,牡丹、康乃馨、白百合,珍木、木犀屬、月下香、琥珀子、麝香,https://www.1976.com.tw/prod/4964
Guerlain Lheure Bleue 藍色時光女性淡香水(2021),各種香味微妙的達到神奇的平衡，低調又奢華，像秋天的夜晚，不是冷，是涼。,東方花香調,佛手柑、辛香料,康乃馨、 橙花、玫瑰、晚香玉、紫羅蘭,鳶尾花、安息香、香草、零陵香豆,https://www.1976.com.tw/prod/21893
Miss Dior Essence 極緻香精,味道很濃郁，下午都不用再補香，個人感覺四季都適合，甜美的花果香，用量省。,木質花香調 、 花果甜美調,果醬、野生黑莓、接骨木花,星辰茉莉、粉紅茉莉、雙瓣茉莉,琥珀、雪松、煙燻橡木,https://www.1976.com.tw/prod/23044
YSL Libre 自由不羈女性淡香精(自由之香)迷你瓶,瓶身大logo超高級～剛噴的時候有些中性，讓人有一定距離感，接著會滿滿散發岀比較柔和的花香，適合職場女性或酷酷的女孩,東方花香調,柑橘、薰衣草、黑醋栗、苦橙葉,茉莉、橙花、薰衣草,雪松、龍涎香、麝香、香草,https://www.1976.com.tw/prod/19273
Chloe Rose Naturelle Intense 綠漾玫瑰精粹女性淡香精迷你瓶,這支綠漾玫瑰，因為有橙花的關係，一開始聞起來有種青草味，顛覆了我對Chloe香水都是甜美女孩的感覺，比較木質調的味道，到了中後期，會有淡淡的香皂香，適合夏天跟喜歡中性香味的人。但在我身上沒有很持香，夏天用的話應該要常常補香。,玫瑰花香調 、 木質花香調,佛手柑,橙花、玫瑰,檀香、雪松,https://www.1976.com.tw/prod/20862
GUERLAIN Idylle 嬌蘭甜蜜情人女性淡香精,"我擁有嬌蘭第一代的花草水語(牡丹)，與現行淡雅版本不同，是相當豐富的花香，可惜絕版。
但是最近我反而在專櫃聞到這款甜蜜情人淡香精，雖然香調中並沒有牡丹，二者卻非常接近，相當有女人味，
雖然是淡香精，卻不會過於濃烈，日間夜晚都適合。",花香調 、 柑苔調,鈴蘭、牡丹、小蒼蘭、白丁香,茉莉花、保加利亞玫瑰,廣藿香、白麝香,https://www.1976.com.tw/prod/20508
Dolce & Gabbana Dolce Blue Jasmine 藍茉花園女性淡香精,有趣又迷人的組合！略帶甜味和果香，卻又清新怡人。清新卻柔滑細膩，溫暖舒適。喜歡無花果的香水，結果發現效果不錯。,花果甜美調,藍色無花果,茉莉,雪松,https://www.1976.com.tw/prod/22813
Chloe L'eau 粉漾玫瑰女性淡香水,荔枝和葡萄柚酸酸的果香前味太棒了！有別於Chloe以往的甜蜜，香水和緞帶都是粉嫩的粉紅色，好美！最喜歡的一點是它整瓶都是玻璃瓶身，沒有銀製的上層瓶身，簡單易保存，不用擔心變色。香味清新淡雅，任何時候任何場合都可以使用。,玫瑰花香調,荔枝、葡萄柚,大馬士革玫瑰,星玉蘭,https://www.1976.com.tw/prod/17383
Clean Soft Laundry 柔軟洗衣間女性淡香精,靈感來自於被涼爽的春天空氣烘乾並被陽光親吻的衣物的乾淨、清爽的清新感覺。梨子和佛手柑的清新香氣與水香調融合，營造出清爽明亮的微風。茉莉、睡蓮和鳶尾的花香與琥珀和麝香交織，讓肌膚倍感舒適。,佛手柑、海洋香調、梨子,,茉莉、睡蓮、鳶尾花,麝香、琥珀、檀香,https://www.1976.com.tw/prod/22590
Miss Dior Rose 迪奧漫舞玫瑰女性淡香水,韓國藝人BLACKPINK Jisoo愛用香，彷彿噴上它就能重現被千萬瓣花瓣環繞的浪漫氛圍。,玫瑰花香調 、 柑橘花香調,格拉斯玫瑰原精、大馬士革玫瑰原精,義大利柑橘香精,白麝香,https://www.1976.com.tw/prod/17703
Guerlain Champs Elysees 香榭里舍女性香水(新瓶身),透明典雅的白花香氣穿透力強烈且辨識度十分高，中味漸漸從花香中隱約透出嬌蘭特有的古老氣息十分經典的好香。,花香調,玫瑰花瓣、含羞草葉,含羞草、黑醋栗、醉魚草,木槿、香草、杏樹、芙蓉籽,https://www.1976.com.tw/prod/19180
Dolce & Gabbana Dolce 甜蜜女性淡香精,前味花果香有些清澈透明感，還以為是走清爽路現，中後味的花香逐漸轉為濃郁，後味持久華麗，但還不至於庸俗。需有要些妝扮才撐得起來的香水，像是可愛的小禮服之類的，應該就會很搭。,羊絨、麝香調、檀香,橙花葉、木瓜花,白孤挺花、白水仙花、純白水百合,,https://www.1976.com.tw/prod/12653
Issey Miyake L'Eau d'Issey Intense 三宅一生一生之水海映依蘭極致女性淡香精,"全新 海映依蘭極致淡香精 與 蔚藍冷杉淡香精
與 聯合國教科文組織 1Ocean 項目合作
用嗅覺潛入深海 置身神祕海洋",花香調,海神草、薑、荳蔻,依蘭依蘭、大馬士革玫瑰,香草,https://www.1976.com.tw/prod/22723
Miss Dior ROSE 漫舞玫瑰女性淡香水 TESTER,持久度、擴香度不錯，滿滿玫瑰花香，略帶脂粉氣，香氣是成熟大姊姊路線，性感撩人，但不會不好駕馭，適合輕熟女,玫瑰花香調 、 柑橘花香調,格拉斯玫瑰原精、大馬士革玫瑰原精,義大利柑橘香精,白麝香,https://www.1976.com.tw/prod/18225
Issey Miyake L'Eau d'Issey Intense 三宅一生一生之水海映依蘭極致女性淡香精 TESTER,"全新 海映依蘭極致淡香精 與 蔚藍冷杉淡香精
與 聯合國教科文組織 1Ocean 項目合作
用嗅覺潛入深海 置身神祕海洋",花香調,海神草、薑、荳蔻,依蘭依蘭、大馬士革玫瑰,香草,https://www.1976.com.tw/prod/23068
Penhaligon's Duchess Rose 潘海利根獸首肖像系列狐狸女性淡香精,氣味就如同獸首系列所述的，是有故事性的香氣行進，一開始的玫瑰芬芳鮮美加上柑橘多汁的氣味，走的是帶點俏皮的玫瑰調性，很漂亮很美，接下來暖調的木香與玫瑰一同呈現，轉為勾人的撫媚感，但不是直白的誘惑，而是充滿暗示的意味，直到後面麝香越來越明顯，純情與慾望交織的複雜氣味，彷彿女子經歷了的一段愛情。這是一瓶愛情的香水，適合約會，或是想要心儀的人愛上自己的愛情之水！,玫瑰花香調,,,,https://www.1976.com.tw/prod/16089
Salvatore Ferragamo Incanto Charms 甜心魔力女性淡香水,花果香氣很明顯，濃郁香甜，這是我對於這個牌子的香水最深的印象。不過這瓶香水在夏天會很適合使用，不會過分甜膩,花果清新調,百香果、忍冬,茉莉花瓣、土耳其玫瑰,白麝香、阿米香樹木,https://www.1976.com.tw/prod/3146
Versace Dylan Turquoise 凡賽斯狄倫淡藍女性淡香水,"是目前聞過最接近海洋的味道,好聞舒服涼爽感十足,一開始是檸檬的淡香味有點酸辣味,再接下來是涼白開加上一點塩巴味,化開後有薄荷的清香沁涼感,夏天最好最的香水",花果清新調,檸檬、柑橘、粉紅胡椒,紅心石榴、小蒼蘭、黑醋栗、茉莉,清新木質調、麝香、雪松,https://www.1976.com.tw/prod/19053
