name,original_price,special_price,specification,description,fragrance,top_notes,middle_notes,base_notes,detail_url
Dior Higher Energy 高度能量男性淡香水 TESTER,"4,450","2,899",100ml 原廠環保紙盒包裝，有瓶蓋 (效期至2026.09),來自Dior專為新世紀男性刻畫的全新價值。,東方清新調,鳳梨、哈蜜瓜、杜松子、薄荷、葡萄柚,肉豆蔻、黑胡椒、薰香,勞丹脂、檀香、麝香、橡苔、香根草、雪松。,https://www.1976.com.tw/prod/9710
Givenchy Gentleman Society 紳士社會男性淡香精迷你瓶,800,390,6ml 抹式,非常優秀的廣藿香，古典且優美，留香半永久，木質尾韻絲絲縷縷，直戳靈魂。,木質調 、 柑苔調,小荳蔻鼠尾草,水仙、海地香根草、馬達加斯加香根草,香草、檀香、雪松,https://www.1976.com.tw/prod/21488
Maison Margiela By the fireplace 壁爐火光中性淡香水,"2,800","1,976",30ml,Maison Margiela的壁爐火光是Replica系列中我最喜歡的香味。香水取名恰到好處，前味給人的第一直覺就是《家有壁爐》般火光劈哩趴啦地響著，還伴隨著濃濃燃燒木頭香味，中後味給人溫暖、安定。,木質調,丁香、粉紅胡椒、橙花,栗子、瓜亞木、杜松,香草、秘魯香脂、Cashmeran,https://www.1976.com.tw/prod/19042
John Varvatos XX Artisan Teal 工匠綠馥男性淡香水,"3,220","1,150",75ml,去年已經用了一瓶了，非常清香的氣息。在炎熱的夏天使用，心情好，需要補噴，但是，如果噴在衣服上，可以更持久，一整天有清爽、乾淨的香氣陪伴，男女都適合。,柑苔調 、 海洋清新調,檸檬、迷迭香,粉紅胡椒、睡蓮,海鹽、麝香、礦物木質,https://www.1976.com.tw/prod/20361
Paco Rabanne 1 Million Royal 百萬皇家男性淡香精迷你瓶,600,380,5ml 抹式,充滿活力的薰衣草、充滿活力的雪松和感性的安息香以意想不到的方式混合在一起，讓傳奇重生，打造出一款與您一樣叛逆的香水。,木質東方調,柑橘、佛手柑、小荳蔻,紫羅蘭葉、薰衣草、鼠尾草,安息香、雪松、廣藿香,https://www.1976.com.tw/prod/21492
Jean Paul Gaultier Le Male 高堤耶裸男淡香水,"2,700","2,400",75ml,"這瓶真的是不需要太多言語去介紹它了 , 一瓶超級經典級別的男性香水 , 雖然Youtube上眾多網紅都封這瓶香水是King of Club , 但是我發現在辦公室使用它的效果也挺不錯的 , 可能台灣上班族的男性使用香水並不是非常普遍 , 所以雖然穿著正裝使用這瓶香水有一點突兀 , 但是它的經典香氣確是很受到女性同事的歡迎哦！",東方清新調,薄荷、檸檬汁,薰衣草、橙花、古明茴香,香草、麝香、珍木,https://www.1976.com.tw/prod/2910
Dior Sauvage 迪奧曠野之心男性淡香水,"3,350","2,680",60ml,柑橘調和木質調兩種調性在這款香水中被揉合得很好，強烈的龍涎香氣息佐上些許川椒的辛味，沈穩內斂的香氣又增添了一抹神秘的粗曠感，堪稱男性撲倒香！,東方清新調 、 柑橘調,卡拉布里亞佛手柑,廣藿香、川椒,龍涎香,https://www.1976.com.tw/prod/13254
YSL L'homme 天之驕子男性淡香水,"3,100","2,480",60ml,優雅且紳士，不到很陽剛硬派，而是溫柔地讓人想靠近，但倒不會到老派陳舊，令人沉醉迷戀，更是一款一年四季都適合的經典味道，推薦給斯文暖男用。,柑苔調,檸檬皮,紫羅蘭葉,黑香豆,https://www.1976.com.tw/prod/6443
Coach Blue 時尚藍調男性淡香水,"1,850",960,40ml,中味是陽光下海灘、衝浪…會撞香，以前好像adidas某款很像…蠻持久，隔天晚上睡衣還有淡淡餘香,木質清新調 、 海洋清新調,萊姆、苦艾油,黑胡椒、海洋調,琥珀、雪松,https://www.1976.com.tw/prod/18288
Hermes Eau D'orange Verte 愛馬仕橘綠之泉中性古龍水 (橙綠),"5,150","2,850",100ml,“橙綠”名副其實，青橘色的瓶身，撲鼻的鮮橙味。作為一款中性香水，鮮橙、薄荷、橡樹木香三種香味融為一體，帶來清朗活力之感。中性的氣味中，蘊含著精緻和風度，把生命的活力感和禁欲的冷色調綜合得很微妙的香水，不輕浮，適合對這世界有清晰思考和溫溫的熱愛的人。,柑橘清新調,佛手柑、 鮮橙、 檸檬,茉莉、 番木瓜、 橙花,廣藿香、 橡樹、 薄荷,https://www.1976.com.tw/prod/3278
Coach Blue 時尚藍調男性淡香水 TESTER,"3,500","1,380",100ml 原廠環保紙盒包裝，內容與正貨相同,一開始是濃郁的柑橘味，後面是甜甜的花香味。整體上從頭到味都是蠻舒服的味。適合不會討厭太顯香的人用,木質清新調 、 海洋清新調,萊姆、苦艾油,黑胡椒、海洋調,琥珀、雪松,https://www.1976.com.tw/prod/18519
John Varvatos XX Artisan Teal 工匠綠馥男性淡香水 TESTER,"4,230","1,212",125ml 原廠環保紙盒包裝，無瓶蓋,"覺得這是一款男女都適合的香水。
一開始的檸檬、迷迭香微酸味慢慢轉變鹹鹹的鹽味帶微微的粉紅胡椒、睡蓮花香，最後轉變成一種清新的麝香、礦物木質。
很乾淨、很清新、沒有侵略感讓人很有好感，特別適合想要散發陽光感的人。",柑苔調,檸檬、迷迭香,粉紅胡椒、睡蓮,海鹽、麝香、礦物木質,https://www.1976.com.tw/prod/20794
Montblanc Emblem Absolu 萬寶龍至尊之星男性淡香水,"3,500","2,150",100ml 絕版收藏品 2018.05出廠,"終於蒐集齊 黑色、銀色、金色 三罐，
最喜歡的味道 黑色 ＞ 金色 ＞ 銀色，
黑色 味道輕 鼠尾草 讓人愉悅，
金色 味道重 感覺暖，
銀色 我比較喜歡冬天用。",木質東方調 、 辛辣調,梨子、柑橘、小荳蔻,薰衣草、粉紅胡椒、水果、蜂蜜,香根草、廣藿香、水晶青苔,https://www.1976.com.tw/prod/15837
Givenchy Gentleman 紀梵希紳士男性淡香水,"3,199","2,250",100ml (白盒),非常優秀的廣藿香，古典且優美，留香半永久，木質尾韻絲絲縷縷，直戳靈魂。,木質花香調,梨、荳蔻,鳶尾花、薰衣草,皮革、廣藿香、黑色香草,https://www.1976.com.tw/prod/18952
Giorgio Armani Code 男性淡香水(2023),"3,650","2,480",75ml,前味就讓周圍朋友為之驚豔，彷彿是在初雪的陽光裡披上溫暖的大衣，每一步都格外令人安心與沈穩。,東方清新調,青檸、葡萄柚、佛手柑,薰衣草、迷迭香、龍艾,零陵香豆、雪松、麝香、蜂蜜、煙草,https://www.1976.com.tw/prod/21994
Paco Rabanne Invictus 勇者男性淡香水,"4,280","2,380",100ml(新瓶身),這瓶香水的甜甜氣味，讓第一次約會的女生誇獎我很加分！前味的葡萄氣味相當明顯，雖然甜甜的卻一點也不膩。中後味後開始慢慢下沉，漸漸體現出成熟男人的氣味。用此香水穿著的服裝基本上完全不受限制～是一款很百搭的香水，而且目前實體通路基本上都沒有在賣，撞香的機率也很低，相當推薦！！,木質調,桂葉、葡萄柚,木質、琥珀,癒創木、龍涎香、廣藿香葉,https://www.1976.com.tw/prod/10794
Armaf Club De Nuit Lionheart 獅子之夜男性淡香精,"3,250","1,580",100ml,國外說是Gaultier Elixir的平替，但我覺得還是略有不同，這瓶外觀比較霸道味道卻比較溫和。如果可以接受這個味道，先恭喜了，它有致命的吸引力。所有元素不過7個，可以有這樣的香味層次，很厲害了。,東方調 、 誘人美食調,薄荷、薰衣草,香草、安息香,零陵香豆、蜂蜜、菸草,https://www.1976.com.tw/prod/22943
Montblanc Emblem Absolu 萬寶龍至尊之星男性淡香水 TESTER,"3,500","1,800",100ml 原廠環保紙盒包裝，有瓶蓋，停產商品2017.09出廠,,木質東方調 、 辛辣調,梨子、柑橘、小荳蔻,薰衣草、粉紅胡椒、水果、蜂蜜,香根草、廣藿香、水晶青苔,https://www.1976.com.tw/prod/17528
Giorgio Armani Code 男性淡香水(2023) TESTER,"3,650","2,180",75ml 原廠環保紙盒包裝，有瓶蓋,前味就讓周圍朋友為之驚豔，彷彿是在初雪的陽光裡披上溫暖的大衣，每一步都格外令人安心與沈穩。,東方清新調,青檸、葡萄柚、佛手柑,薰衣草、迷迭香、龍艾,零陵香豆、雪松、麝香、蜂蜜、煙草,https://www.1976.com.tw/prod/22124
Coach Blue 時尚藍調男性淡香水迷你瓶,600,300,4.5ml,一開始很清新的柑橘調香味，給人一種輕鬆舒服感覺,木質清新調 、 海洋清新調,萊姆、苦艾油,黑胡椒、海洋調,琥珀、雪松,https://www.1976.com.tw/prod/18289
Dior Sauvage 迪奧曠野之心男性淡香水迷你瓶,"1,500",680,10ml 抹式,終於有機會聞了人稱百搭香的這罐香水，前調如沐浴乳般的清新氣味，在廣藿香浮上來之後讓整個感覺變的沉穏，但時不時又能聞到退到後面的前味，給人整潔穏重的形象，完全可以理解這瓶賣這麼好的原因了,東方清新調 、 柑橘調,卡拉布里亞佛手柑,廣藿香、川椒,龍涎香,https://www.1976.com.tw/prod/19176
Prada L'Homme 男性淡香水,"3,300","2,640",50ml,如果你在找一個能增加自信，並透過味道告訴自己是一個成功、或是邁向成功的人士，這支香水是必買的選擇！我不是香味專家所以無法分辨香水基調，也覺得說木質、柑橘⋯等的太難懂，但是很明顯的這味道給人一種穩定、大方、理性中帶點感性的情感，非常能理解為什麼很多人說它是一款「辦公室香」！,木質花香調 、 柑苔調,橙花、胡椒,鳶尾、琥珀、紫羅蘭、老鸛草,廣藿香、雪松,https://www.1976.com.tw/prod/14939
Dunhill Desire GOLD 金光男性淡香水,"2,750","1,450",100ml,透過佛手柑傳遞清新甦活感，但最好聞的要開始了，帶有玫瑰花的輕柔配上紙莎草的高雅，和麝香的強勁後力，留香程度高，很適合在社交穿上它，這是一支以木質調為主，融合果香、花香與木質香:D,,佛手柑、黑醋栗、蘋果,格拉斯玫瑰、紙莎草,橡苔、香草、麝香,https://www.1976.com.tw/prod/19662
Narciso Rodriguez Vetiver Musc 紳青男性淡香水,"2,550","1,780",50ml,紳青淡香水 為 Narciso Rodriguez 經典男香 for him 系列掀開全新章節，靈感來自於生機勃勃的礦物質和豐富的常青森林，樹脂的芬芳平衡了岩石堅硬的氣息，並以性感的麝香包裹著大地饋贈的草本木質香調。,草香清新調 、 木質調,荳蔻、肉荳蔻、柏樹,麝香、天竺葵、薰衣草、紅海藻,雪松、廣藿香、岩蘭草,https://www.1976.com.tw/prod/21729
Hugo Boss Hugo Energise 勁能男性淡香水,"2,300","1,280",75ml,其實撇開運動不說，這款香水的特性很鮮明，以清新的荳蔻味領出淡淡的花香，後味是類木質又帶有檀香的感受，適合大量流汗完沖澡後噴上，讓人舒緩身心。,木質東方調,柑橘、金桔、甜瓜、粉紅胡椒、荳蔻,琥珀味種子、杜松果、胡荽葉、白蒼蘭,阿米香樹、麂皮、印度檀香木、蘭花楹木、絨布皮、可可亞,https://www.1976.com.tw/prod/2654
Issey Miyake SPORT 三宅一生一生之水極限男性淡香水,"3,600","1,980",100ml,如果說只能挑一支運動香水，絕對會是這支！葡萄柚及西柚的酸澀，散發著清新活力卻不會落入柑橘海洋調性的輕浮張揚，肉豆蔻及龍涎香的辛香氣息，低調地揉和在雪松及香根草的木質調性中，散發著沉穩內斂。,木質清新調,佛手柑、葡萄柚,西柚、肉豆蔻,香根草、雪松、龍涎香,https://www.1976.com.tw/prod/9570
Tommy Hilfiger Tommy 男性淡香水,"2,100",840,50ml，效期：2026.07,甘冽陣雨拭盡午後的悶燥，暖陽沁透林葉間隙灑下涵混著純淨綠意的金色曜斑，徐風拂掠沃原捎來梅果與柚香的絲絲清甜。活力中納有風雅，清新裡蘊擁野性，這是北美大陸的印記。,柑橘清新調 、 柑苔調,太平洋陣雨、葡萄柚、綠薄荷,小紅莓、肯塔基州的六月禾、蘋果派、北美洲巨型仙人掌、黃玫瑰香、薄荷,懷俄明州的棉白楊、漂流木、紅楓,https://www.1976.com.tw/prod/2618
Narciso Rodriguez Vetiver Musc 紳青男性淡香水 TESTER,"3,600","1,800",100ml 原廠環保紙盒包裝，有瓶蓋,紳青淡香水 為 Narciso Rodriguez 經典男香 for him 系列掀開全新章節，靈感來自於生機勃勃的礦物質和豐富的常青森林，樹脂的芬芳平衡了岩石堅硬的氣息，並以性感的麝香包裹著大地饋贈的草本木質香調。,草香清新調 、 木質調,荳蔻、肉荳蔻、柏樹,麝香、天竺葵、薰衣草、紅海藻,雪松、廣藿香、岩蘭草,https://www.1976.com.tw/prod/21744
【身體系列】Bleu De Chanel 香奈兒藍色男性香氛精萃噴霧 TESTER,"4,450","3,300",１５０ml 原廠環保紙盒包裝，有瓶蓋 (效期至2026.08),這款真的用了就很難回頭，前中後味各有獨特性在肌膚上揮發後的迷人感覺真的很棒，真的舒服到會有種提升自信的錯覺。（夜場真的很容易撞香水）,木質調,,,,https://www.1976.com.tw/prod/22742
Montblanc Individuel 萬寶龍獨白男性淡香水,"3,200","1,299",75ml,對於香味這樣的感官來說，乾淨這個詞一直是非常抽象的想像，直到聞到了這款individule，給人的第一印象就是乾淨，洗淨後，剛曬完太陽的白襯衫，少許的甜味給人好親近的氣息，號稱有著與creed original santal 95％相似的味道，價錢卻是十分之一，非常推薦盲買的一支香,東方花香調,佛手柑、薄荷、芫荽,肉桂、天竺葵、薰衣草、茉莉,檀香、香草、岩蘭草、橡苔,https://www.1976.com.tw/prod/3109
Karl Lagerfeld Jeans Urban Blue 都會藍男性淡香水,"2,550","1,280",100ml,都會藍淡香水以略帶辛辣感、令人振奮的薑作為大膽前調，立即喚醒感官。隨後融入了清新的水生調，為繁忙的都市生活注入一股活力，也代表著無限可能。後調優雅的真蘚則為香氛帶來深邃神秘的尾韻，就像是晨露在肌膚上留下印記。,柑苔調,薑,水生調,苔蘚,https://www.1976.com.tw/prod/22617
