name,original_price,special_price,specification,description,fragrance,top_notes,middle_notes,base_notes,detail_url
YSL MYSLF L’Absolu 極鏡淡香精迷你瓶,"1,200",680,7.5ml 抹式,"MYSLF L'ABSOLU，YSL全新推出的濃鬱香水，帶來愉悅感受。
全新鏡面瓶身，全新清爽辛香薑味，系列中 濃度最高的香水。

* 實品為銀色瓶身",木質花香調 、 辛辣調,佛手柑、生薑、荳蔻,橙花、晚香玉,廣藿香、木質調,https://www.1976.com.tw/prod/23302
Versace Eros Najim 凡賽斯愛神星渝男性香精,"5,000","3,750",100ml,凡賽斯 Eros Najim 愛神星渝，宛如一顆閃耀星辰，自中東沙漠的曙光到餘暉，展現無畏與光輝。黃柑橘與香料迸發能量，沉香與雪松堆疊力量，焦糖與零陵香豆釋放迷人柔情，最後沉醉於廣藿香與焚香的神秘深邃。,木質東方調 、 辛辣調,小荳蔻、綠橘、藏紅花、快樂鼠尾草,焦糖、雪松、沉香,廣藿香、香根草、零陵香豆,https://www.1976.com.tw/prod/23295
Messi 梅西同名男性淡香精,"2,400","1,880",100ml 無膠膜,阿根廷球星梅西宣布推出首款個人香水，未來運動科技 × 低調卻自信的男子氣場,木質東方調 、 辛辣調,小荳蔻、蘋果葉、柏樹,皮革、薰衣草、鳶尾根,香草豆、廣藿香、雪松,https://www.1976.com.tw/prod/23275
YSL MYSLF L’Absolu 極鏡淡香精,"5,500","4,350",60ml,"MYSLF L'ABSOLU，YSL全新推出的濃鬱香水，帶來愉悅感受。
全新鏡面瓶身，全新清爽辛香薑味，系列中 濃度最高的香水。

* 實品為銀色瓶身",木質花香調 、 辛辣調,佛手柑、生薑、荳蔻,橙花、晚香玉,廣藿香、木質調,https://www.1976.com.tw/prod/23271
Versace Eau Fraiche Extreme 凡賽斯雲淡風輕男性淡香精版本迷你瓶,800,250,5ml 抹式,Versace 雲淡風輕男性淡香精重新演繹經典男士香氛，清新木質調：檸檬與香料明亮開場，薰草木香沉穩中段，後調麝香迷人悠長。,木質清新調,天竺葵、粉紅胡椒、檸檬,快樂鼠尾草、薰衣草、雪松,雪松、琥珀、麝香,https://www.1976.com.tw/prod/23224
Versace Eau Fraiche Extreme 凡賽斯雲淡風輕男性淡香精版本,"3,980","2,980",100ml,Versace 雲淡風輕男性淡香精重新演繹經典男士香氛，清新木質調：檸檬與香料明亮開場，薰草木香沉穩中段，後調麝香迷人悠長。,木質清新調,天竺葵、粉紅胡椒、檸檬,快樂鼠尾草、薰衣草、雪松,雪松、琥珀、麝香,https://www.1976.com.tw/prod/23223
YSL Y Le Parfum 男性香精 (2025),"5,000","3,500",60ml,瓶身設計的很有時尚感， 味道很有層次! 很棒的男士香水!,東方調 、 辛辣調,生薑、白醛香,夜松、乳香,晚香玉、冷杉,https://www.1976.com.tw/prod/23155
Penhaligon's Finley 潘海利根獸首肖像系列 不期而遇的芬利（馬首）淡香精,"10,800","7,980",75ml,,木質東方調 、 辛辣調,小荳蔻、八角茴香、黑胡椒,鹽、開心果、抹茶,紫羅蘭葉、廣藿香、皮革,https://www.1976.com.tw/prod/23151
Marly Pegasus 皮葛舒斯(飛馬)男性淡香精行動香氛,"1,200",799,5ml 抹式,名副其實的誘人香味。既有皇家高貴的感覺又帶有異國氣息。,東方花香調,佛手柑、天芥菜、小茴香,杏仁茉莉、杏仁、薰衣草,琥珀、香草、檀香,https://www.1976.com.tw/prod/23129
Paco Rabanne Invictus parfume 勇者男性香精迷你瓶迷你瓶,800,400,5ml 抹式,Paco Rabanne 的新 INVICTUS PARFUM 將新鮮的薰衣草與性感的黑皂和令人上癮的檀香木結合在一起，為將生活變成傳奇的半神英雄帶來濃鬱的香味。,東方調 、 海洋清新調,海洋調、薰衣草、粉紅胡椒,香皂、紫羅蘭葉、桃金孃,麝香、開司米木、檀香,https://www.1976.com.tw/prod/23103
Viktor & Rolf Spicebomb 激情炸彈男性淡香水迷你瓶,800,499,7ml 抹式,整體造型讓人眼睛為之一亮，創意無限加上極高的質感，香味算是外剛內柔，前味的胡椒及肉桂略為嗆辣，相當符合激情炸彈之名，大約半小時後，香味漸趨柔和，煙燻的番紅花及皮革帶來很溫暖的氛圍，香味的持久度和傳香的表現都蠻優秀噢，天氣冷時穿上這瓶香水再適合不過了！,東方調 、 皮革香調 、 辛辣調,佛手柑、西柚、粉紅胡椒,藏紅花、肉桂、辣椒,皮革、菸草、香根草,https://www.1976.com.tw/prod/23101
Paco Rabanne Ultraviolet 紫外線男性淡香水 TESTER,"3,690","1,450",100ml,身為香草控的我偶然間注意到這款香水就盲買了，而香根草和香草的組合更是讓我著迷不已！開頭的琥珀一點點的酸，給人一種自燃散發的男性魅力，不溫不火，香根草的木質調中和了胡椒辛辣和香草的甜，因此穿上他才不會給人感覺很嗆辣、很甜或者儼然是會走動的一根木頭，總之就是一整個很悶騷內斂的低調男性魅力香。有一次我穿著紫外線上班時，同事經過我身邊說：「怎麼有一種在逛專櫃會聞到的味道」。,草香清新調 、 木質調 、 辛辣調,琥珀、薄荷,香根草、胡椒、辛辣調,苔蘚、香草,https://www.1976.com.tw/prod/23085
YSL MYSLF 男性淡香精行動香氛,"1,200",800,10ml 噴式,雖然被歸類為木質香，卻謹慎的填入了花草香。初味的佛手柑稍微有點刺鼻，但中段的橙花味聞起來像晨露般清甜淡雅不會過分浮誇。進後味的時候橙花跟龍涎香/廣藿香轉換的很精緻，維持了優雅的氣質。整體持香跟闊香都還算不錯，覺得喜歡。,木質花香調,佛手柑,橙花,龍涎香、廣藿香,https://www.1976.com.tw/prod/23067
Paco Rabanne Million Gold Elixir 百萬黃金男性香精迷你瓶,800,480,5ml,"金光閃閃的金條造型瓶身，
承襲百萬系列男香奢華風格之外，
更加濃郁的「報復性」極致誘惑要你加倍自信，強勢回歸！",木質東方調,柑橘,香草,檀香,https://www.1976.com.tw/prod/23063
Ralph Lauren Polo 67 馬球67號男性淡香水 TESTER,"3,650","1,800",125ml 原廠環保紙盒包裝，有瓶蓋,Polo 67 男性淡香水，結合了新鮮的柑橘和溫暖的木質香調，創造出強烈而無可否認的陽剛氣息。 Polo EST 透過精選的卡拉布里亞佛手柑、鳳梨香調和泥土香根草的香氣散發出清新氣息。,佛手柑、水生香調、薰衣草,,鳳梨、天竺葵、葵花籽、快樂鼠尾草,香根草、檀香、廣藿香,https://www.1976.com.tw/prod/23029
Acqua di Parma Colonia Essenza 克羅尼亞黑調男性古龍水迷你瓶,"1,200",699,5ml,柑橘和苦橙葉增加了新鮮度。中味迷迭香交融玫瑰、茉莉和鈴蘭花香細膩的芳香，加上一絲丁香。後味由廣藿香的豐富、白麝香和琥珀的溫暖，充滿活力的木質基調帶來完美的男人味。,木質調 、 柑橘調,檸檬、佛手柑、葡萄柚、柑橘、苦橙葉,迷迭香、玫瑰、茉莉、鈴蘭花、丁香,廣藿香、木質、白麝香、琥珀,https://www.1976.com.tw/prod/22991
Ormonde Jayne 同名男性香精,"9,590","5,780",88ml,"全新 Parfum Strength
Ormonde Man 香水，儘管成分標新立異，卻依然是極為精緻的香水。這款香水複雜而富有個性，撩人而神秘，散發著柔和的木質香調，但真正讓它與眾不同的是沉香油——自古以來世界上最珍貴的香精——的注入，使其香氣提升到真正的卓越境界。",木質調 、 辛辣調,杜松子、佛手柑、粉紅胡椒、小荳蔻、香菜籽,沉香、黑鐵杉,香根草、雪松、檀香、麝香,https://www.1976.com.tw/prod/22982
Prada Luna Rossa Ocean 卓越海洋男性淡香水迷你瓶,"1,200",450,9ml,陸劇《長相思》《濾鏡》藝人檀健次愛用香水，海洋的清新味道，加上佛手柑、鳶尾花、香根草，海洋與草原結合的感覺！,東方清新調,佛手柑、粉紅胡椒、艾蒿,薰衣草、鳶尾花、鼠尾草、絨面革、藏紅花,麝香、海地香根草、廣藿香、焦糖,https://www.1976.com.tw/prod/22970
YSL Y Le Parfum 男性香精 (2025) 迷你瓶,"1,200",690,7.5ml 抹式,剛開出是蘋果香的甜香混合著薑的清新，十分宜人，到了中調甜味散去，是一股十分中性的花香，後調是非常溫柔的氣息。我覺得這支男女皆宜，更是一款百搭香水，穿上它會給人生活很有質感、自信又好親近的感覺，很驚豔，大推~,東方調 、 柑苔調,生薑、白醛香,夜松、乳香,晚香玉、冷杉,https://www.1976.com.tw/prod/22959
Roberto Cavalli Uomo 男性淡香水(2023),"2,890","1,450",100ml,這是一款在味道及包裝設計上，都展現深思熟慮的作品，香水1976獨家引進，強力推薦給不甘於平凡的你。,木質調 、 東方花香調,小荳蔻、黑胡椒,琥珀、桂花,焚香、乳香、零陵香豆,https://www.1976.com.tw/prod/22923
Paco Rabanne Million Gold 百萬黃金男性淡香精迷你瓶,800,480,5ml 抹式,"金光閃閃的金條造型瓶身，
承襲百萬系列男香奢華風格之外，
更加濃郁的「報復性」極致誘惑要你加倍自信，強勢回歸！",木質調 、 辛辣調,檀木、香辛料、柑橘、雪松,,,https://www.1976.com.tw/prod/22891
Viktor & Rolf Spicebomb Dark Leather 激情炸彈暗色皮革淡香精,"3,680","2,350",50ml,濃郁誘人的香草中帶有辛辣的黑胡椒，但除了香草味我確實有聞到一點點皮革的味道讓這隻更加性感，絕對會是一隻讓人注意到你的個性簽名香,木質調 、 皮革香調 、 辛辣調,黑胡椒、肉荳蔻,肉桂、乳香,黑色皮革、菸草,https://www.1976.com.tw/prod/22888
Valentino Uomo Born In Roma Coral Fantasy 訂製羅馬珊瑚幻想男性淡香水,"4,600","3,480",100ml,Valentino 2022年推出Born In Roma Coral Fanstsy 訂製羅馬珊瑚幻想，靈感來自羅馬街頭這個魔幻時刻的能量。,東方調,紅蘋果、小荳蔻、佛手柑,薰衣草、天竺葵、快樂鼠尾草,菸草葉、廣藿香、香根草,https://www.1976.com.tw/prod/22887
Valentino Born In Roma Green Stravaganza 訂製羅馬綠色奢華男性淡香水,"3,400","2,380",50ml,濃郁的鳳梨配上清爽的薑餅和一些香草，推薦給喜歡美食調的男性。,柑苔調 、 誘人美食調,佛手柑,咖啡,香根草,https://www.1976.com.tw/prod/22867
Baldessarini Uomo Mare 烏墨湛藍男性淡香水,"1,900","1,180",50ml,香氣由清新的海岸風開始，逐漸轉變為溫暖、辛辣和木質混合，展現出難以抗拒的男性魅力。瓶身設計簡約，以深藍色為主色調，從視覺上概括了其陽剛氣質——穩重、真誠、誘人。,柑苔調 、 海洋清新調,佛手柑、鹽晶、萊姆,海洋、薰衣草、天竺葵,雪松、苔蘚、檀香,https://www.1976.com.tw/prod/22839
【身體系列】Versace Pour Homme 凡賽斯經典男性體香膏,"1,150",880,75g,性感、熱情，男人魅惑的純粹，沉穩卻又低調狂野的擄獲你心！,柑橘調,,,,https://www.1976.com.tw/prod/22811
Paco Rabanne Invictus Victory Elixir Parfum Intense 勇者勝利靈藥男性香精,"4,980","3,480",100ml,一種將勝利推向極限的強效靈丹妙藥。是時候擁抱你的不朽時刻了。,東方調,薰衣草、小荳蔻、黑胡椒,薰香、廣藿香,香草莢、零陵香豆,https://www.1976.com.tw/prod/22806
Vince Camuto Homme Intenso 文斯卡穆托馥郁男性淡香精,"3,180","1,580",100ml,一開始的味道十分強烈，就像一個極具野心的大男人正準備狩獵一般，強而猛烈，中味沉香逐漸轉為內斂，最後用穩重的檀香和皮革味道收尾，香味很持久，是一款木質味道偏重、適合成熟的男性使用！,木質調 、 海洋清新調,海藻、瓜爾酮、青柑橘、佛手柑、薑、艾蒿,藍柏、水茉莉、薰衣草、扁豆、迷迭香,麝香、橡苔、廣藿香、肉桂皮,https://www.1976.com.tw/prod/22804
Paco Rabanne 1 Million Royal 百萬皇家男性香精 TESTER,"4,800","2,499",100ml 原廠環保紙盒包裝，內容與正品相同,充滿活力的薰衣草、充滿活力的雪松和感性的安息香以意想不到的方式混合在一起，讓傳奇重生，打造出一款與您一樣叛逆的香水。,木質東方調,柑橘、佛手柑、小荳蔻,紫羅蘭葉、薰衣草、鼠尾草,安息香、雪松、廣藿香,https://www.1976.com.tw/prod/22802
Joop Homme Absolute 男性淡香精,"3,730","1,650",120ml,瓶身的設計是墨黑色的半邊圓柱型玻璃瓶身，圓弧形的設計讓男人一手掌握，擋不住濃郁且充滿原創性的自我氣息！Joop Homme Absolute 男性淡香精，獻給你舉手投足的男子氣概!!,東方調 、 柑苔調,黑胡椒,依蘭依蘭,焚香、零陵香豆、香根草,https://www.1976.com.tw/prod/22801
Paco Rabanne 1 Million Royal 百萬皇家男性香精,"4,800","2,999",100ml,充滿活力的薰衣草、充滿活力的雪松和感性的安息香以意想不到的方式混合在一起，讓傳奇重生，打造出一款與您一樣叛逆的香水。,木質東方調,柑橘、佛手柑、小荳蔻,紫羅蘭葉、薰衣草、鼠尾草,安息香、雪松、廣藿香,https://www.1976.com.tw/prod/22580
Adidas Energy Drive 愛迪達率性淡香精-能量驅動,"1,000",699,100ml(藍盒),運動香水第一品牌，Adidas推出Adidas Energy Drive 愛迪達率性淡香精-能量驅動，充滿能量、動感的氣息，讓您運動時充滿自信！,柑橘調,佛手柑、粉紅胡椒,小荳蔻、快樂鼠尾草,香根草、麝香,https://www.1976.com.tw/prod/22575
Yardley Equity 清爽平衡男性淡香水,850,650,100ml,Yardley 的 Equity 清爽平衡男性淡香水是一款集清新與舒適於一體的迷人香水。這款香水為使用者帶來舒適的活力，佛手柑的清新香味和持久的木質麝香組合可持續一整天。,木質清新調 、 海洋清新調,柑橘、佛手柑,海洋調、紫羅蘭、茉莉,琥珀、香草、檀香,https://www.1976.com.tw/prod/22530
Yardley Sport 運動風男性淡香水,850,650,100ml,Yardley Sport 是一款奢華而獨特的香水，能夠增強紳士的自由精神。這款木質芳香香水俱有和諧的混合，前調充滿活力，有佛手柑和薰衣草的味道，中調富含晶瑩剔透的海洋香調和廣藿香，基調為麝香和琥珀。,木質清新調 、 海洋清新調,檸檬、薰衣草、佛手柑,海洋調、廣藿香、雪松,麝香、琥珀、橡木苔,https://www.1976.com.tw/prod/22529
YSL Y Elixir 極致版男性淡香精,"5,450","3,800",60ml,捕捉激動與腎上腺素的舞台快感的香味,東方清新調,薰衣草,天竺葵,乳香、沈香,https://www.1976.com.tw/prod/22313
CREED Erolfa 艾洛法男性淡香精,"11,800","8,260",100ml,CREED Erolfa 艾洛法男性淡香精，讓人聯想到地中海的航海之旅，Erolfa 在這款草本辛辣的標誌性香水中捕捉到了波光粼粼的海水、鹹鹹的空氣和柑橘香味的微風。,柑苔調,檸檬、柑橘、羅勒、香檸檬、薑,紫羅蘭、鮮花、薰衣草、芫荽、西瓜、小黃瓜、茉莉,檀香、麝香、雪松,https://www.1976.com.tw/prod/14746
Bvlgari Le Gemme Falkar 寶格麗菁瑛寶石男性淡香精,"16,075","8,850",100ml,Bvlgari Le Gemme Falkar 散發十分深沉的香氣，神秘而濃郁，留下豐富而獨特的餘韻。沉香木精華的濃郁氣息融入深沉而木質黑麝香的馥郁香氣，捕捉鷹眼石的雄偉氣質。,木質東方調,肉荳蔻、肉桂,紙莎草、乳香,沉香、黑麝香、藏紅花,https://www.1976.com.tw/prod/23022
Bvlgari Le Gemme Empyr 寶格麗光熠寶石男性淡香精,"16,075","8,850",100ml,氣味組成並不複雜，但很有深度，開初些許的辛香感，接著就帶出檀木的木質和勞丹脂，三者融合的非常滑順，整體呈現的是一種裝在精緻木盒中的輕薄型高級皮件的氛圍，因為辛香感而有些皮革的感受，不是厚重大型或舊型的皮件，而是輕薄精細的新品皮件的感覺，適合30以上正裝男子秋冬使用，擴散侵略性中高但不擾人，持香10小時以上，展現沉著優雅的氛圍。,木質調 、 辛辣調,薑心精華,檀香,勞丹脂,https://www.1976.com.tw/prod/23018
Bvlgari Le Gemme Empyr 寶格麗光熠寶石男性淡香精行動香氛,"1,980",850,8ml 噴式,EMPYR首先透過專為寶格麗精選的強大新鮮薑心展現出來，並在核心香調中以檀香營造出絕對獨特且令人難忘的對比。,木質調 、 辛辣調,薑心精華,檀香,勞丹脂,https://www.1976.com.tw/prod/23019
Bvlgari 寶格麗黑茶中性古龍水迷你瓶(新款),"1,000",600,5ml 抹式(外盒略有瑕疵),雖然屬於古龍水，剛開始聞的時候覺得很刺鼻，但隨後的中後調卻是讓人著迷，廣藿香融合烏木的香氣，有種煙燻的木頭味,木質花香調,大馬士革玫瑰精華、佛手柑,玉蘭花、玫瑰、雲南滇紅,廣藿香、沉香木,https://www.1976.com.tw/prod/18703
BVLGARI BLV 寶格麗藍茶男性淡香水,"4,400","3,600",100ml,真如諸位香友們說的，有資O堂蜂蜜香皂的皂香味。前味雖有豆蔻及生薑，但藍茶的前味表現剛剛好，不會像有些男香令人感到嗆鼻。非常適合白領階級的男士，而且是不分老中青，就算女孩子使用也不突兀，畢竟它就是一款舒適清爽的柔和香調。再者雖然是EDT，但還挺持久的！,木質清新調 、 辛辣調,豆蔻、生薑,菸草花、銀杏、杜松,麝香、檀香、柚木、雪松,https://www.1976.com.tw/prod/2531
Calvin Klein CK be 中性淡香水,"2,600",820,100ml,第一次買香水，就買到自己喜歡的味道！看了心得分享後，再加上量多，比其他品牌便宜就買了，果然像其他買家說的一樣，真的很好聞！真的像剛洗完澡一樣，很香，不刺鼻，有種舒服柔軟的感覺，大推！,柑橘清新調,杜松果、 豆蔻果實、 柑橘、 薄荷、 薰衣草,玉蘭花 、 白桃、 柑橘花、 綠茶,白麝香、 金合歡、 薰草豆,https://www.1976.com.tw/prod/2544
Bvlgari Pour Homme 寶格麗大吉嶺茶中性淡香水(2023) TESTER,"4,400","2,290",100ml 原廠環保紙盒包裝，有瓶蓋 (2023),當初只看推薦就直接入了，果然沒有讓我失望，身邊每個人都說很香，這款香水比較沒有侵略性，淡淡的香氣完全可以說是你的體香，完全就是男生剛洗澡完的味道，盲入這支真的不會失望,木質花香調,大吉嶺茶、睡蓮,癒創木、土耳其小豆蔻,透明琥珀、麝香,https://www.1976.com.tw/prod/20829
Bvlgari 寶格麗男性小香水禮盒４入組(2025),"2,200","1,950",5ml 抹式 x 4(含空谷之雨),小香水不僅瓶身可愛，能夠收藏以外，還能試多款的香味從中找尋合適自己的味道!!非常超值～推薦,,,,,https://www.1976.com.tw/prod/22790
Dior Sauvage 迪奧曠野之心系列迷你男香精裝禮盒,"3,950","1,680",10ml抹式 x 3,"FiFi Awards 2016 香水奧斯卡獎－最佳瓶身設計男香／FiFi Awards 2019 香水奧斯卡獎－年度最佳突圍之星。

藝人強尼戴普代言，台灣藝人吳慷仁、韓國藝人南柱赫、李俊昊、TXT 然竣、《玻璃之心》日本藝人町田啟太、志尊淳 私人愛用香",東方清新調 、 柑橘調,,,,https://www.1976.com.tw/prod/23148
Bvlgari Man RAIN Essence 寶格麗空谷之雨男性淡香精,"3,925","2,350",60ml,"空谷之雨的香氣是一場柔和的海邊晨雨，雨水輕拍礁石，混合著陽光灑落肌膚的溫度。溫柔、性感卻不張揚，帶有一種剛洗完澡般的潔淨感，非常適合日常使用。
前調清爽辛香與柑橘交織，像是雨後海風般撲鼻而來，乾淨又醒神。
中調清新中帶著一絲微鹹，像剛曬乾的白襯衫，還有一點植物與海潮融合的優雅氣息。
後調的琥珀、蜂蠟、麝香交集出溫暖柔和，像陽光曬過肌膚後留下的體溫餘韻，有一種溫潤的性感，細膩卻不過分甜膩。",礦物琥珀香調、癒創木,綠茶精華、柑橘精華,白蓮花、水晶麝香,,https://www.1976.com.tw/prod/21159
Calvin Klein CK one shock 男性淡香水,"2,600",850,100ml,甜而不膩，秋冬或當夜香挺搭的! 持久度也是香精級的! 菸草+似香草的奶味聯想到如同冬日走進一家具有質感的咖啡廳但又帶有些許雅痞的感覺!,東方花香調,西班牙小柑橘、紫色薰衣草、小黃瓜,桂花、黑胡椒、荳蔻、黑羅勒,菸草、廣藿香、琥珀、喀什米爾麝香,https://www.1976.com.tw/prod/9037
Bvlgari Man RAIN Essence 寶格麗空谷之雨男性淡香精迷你瓶,880,380,5ml 抹式,開頭是帶著微甜氣味的天竺葵和淡淡清甜的杜松，並且在背景中有一種微微的涼意，接著開始展現微嗆與帶點乾躁感的生薑，並持續著背景的微涼感，感覺會比較適合外表略帶冷酷感覺的男生使用,礦物琥珀香調、癒創木,綠茶精華、柑橘精華,白蓮花、水晶麝香,,https://www.1976.com.tw/prod/21731
Bvlgari Man Terrae Essence 寶格麗溫煦之地男性淡香精,"3,925","2,121",60ml 效期至2026.11,非常陽剛的木質調香水，雖然有點煙燻甜味，但不失man感，整體是很耐聞的味道跟高級感，而且我覺得後面越久聞起來越療癒:D,大地土木調、蘇合香調,卡曼橘、檸檬精華,岩蘭草精華、鳶尾根,,https://www.1976.com.tw/prod/19230
Bvlgari Man Terrae Essence 寶格麗溫煦之地男性淡香精 TESTER,"5,300","2,150",100ml 原廠環保紙盒包裝，內容與正貨相同,擁抱自然元素，寶格麗溫煦之地男性淡香精將大地最原始的氣息融入瓶中。,大地土木調、蘇合香調,卡曼橘、檸檬精華,岩蘭草精華、鳶尾根,,https://www.1976.com.tw/prod/19338
Bvlgari Man Terrae Essence 寶格麗溫煦之地男性淡香精迷你瓶,780,380,5ml 抹式,擁抱自然元素，寶格麗溫煦之地男性淡香精將大地最原始的氣息融入瓶中。,大地土木調、蘇合香調,卡曼橘、檸檬精華,岩蘭草精華、鳶尾根,,https://www.1976.com.tw/prod/19231
Bvlgari Man Glacial Essence 寶格麗極地冰峰男性淡香精,"3,925","2,380",60ml,在我心目中是寶格麗man系列的No.1～春夏季穿上這支香氣持久不厚重，非常舒服又高級的味道,木質清新調 、 辛辣調,杜松精油、生薑提取物、天竺葵精油,澳大利亞檀香精油、鳶尾凝脂、艾草精油,阿拉斯加雪松精油、CLEARWOOD® 千龍木香、麝香,https://www.1976.com.tw/prod/18322
Bvlgari Man Glacial Essence 寶格麗極地冰峰男性淡香精迷你瓶,780,380,5ml 抹式,前調硬朗，是非常有男子氣概的味道，精油味很濃，喜歡精油的人會很喜歡，沉穩但不失活潑，硬要說的話就介於兩者之間，個人覺得是蠻百搭的休閒香，中味沒什麼感覺，後味麝香開始出來，聞起來是舒服的，但有別於其他後味也是麝香的香水，他更多了一絲男人的氣息，十分有個性。,木質清新調 、 辛辣調,杜松精油、生薑提取物、天竺葵精油,澳大利亞檀香精油、鳶尾凝脂、艾草精油,阿拉斯加雪松精油、CLEARWOOD® 千龍木香、麝香,https://www.1976.com.tw/prod/18412
Bvlgari Wood Essence 寶格麗城市森林男性淡香精,"3,925","2,180",60ml,這款香水在初聞的時候會由稍甜的柑橘香氣領銜，緊跟著背後地是淡雅的青草味，營造出輕柔又活力的城市氛圍，經過約15分鐘柑橘味變淡後，留下柔和的雪松與帶甜的安息香，使整體變得平穩祥和，像清晨陽光透過行道樹映照城市街道，帶有生氣又柔和地剛剛好。整體感覺上，三調變化層次分明，但與城市森林給我的壯闊綠意想像不同，實際表現較為柔美，不會有過份厚重的木質感，比較偏向清新草香與帶甜的柑橘氛圍，也讓其實穿度提升不少。,草香清新調 、 木質調 、 柑橘調,義大利柑橘皮、芫荽,絲柏木、海地香根草,雪松木、龍涎香、邏羅安息香,https://www.1976.com.tw/prod/16213
Calvin Klein CK Eternity 永恆男性淡香水,"3,200","1,212",100ml,這款香水很像薰衣草味的香皂，甜甜的，乾凈又性感，前味有點刺鼻，後味回歸木香的范疇。很適合上班用，感覺清晰干練，香味的持久力不錯。,木質花香調,薰衣草、檸檬、佛手柑、柑橘,茉莉、羅勒、天竺、鼠尾草、杜松子、香菜、橙花、百合,檀香、香根草、麝香、花梨木、琥珀,https://www.1976.com.tw/prod/2545
Bvlgari Wood Essence 寶格麗城市森林男性淡香精 TESTER,"5,300","2,399",100ml 原廠環保紙盒包裝，內容與正貨相同,森林!名符其實，第一次聞到這支香氛時，就像是踏入了翁翁鬱鬱的綠色森林之中，有著無數的草本植物，帶來令人醒神的草本香氣，越深入展現的就是高大喬木所散發出的清新木頭香，很有安定心神的功效，而後就是那種陳年木頭才能有的濃厚木質味~只能說寶格麗香氛真的很厲害。,木質調,義大利柑橘皮、芫荽,絲柏木、海地香根草,雪松木、龍涎香、邏羅安息香,https://www.1976.com.tw/prod/16378
cK Eternity 永恆男性淡香水 TESTER,"3,200","1,150",100ml 原廠環保紙盒包裝，內容與正貨相同,cK Eternity這支香水非常持久，一開始味道較為強烈，但過不久就轉為舒服的香氣較為沉穩，並且洗過澡後還是能聞到淡淡的味道，持久性真的很足夠,木質花香調,薰衣草、檸檬、佛手柑、柑橘,茉莉、羅勒、天竺、鼠尾草、杜松子、香菜、橙花、百合,檀香、香根草、麝香、花梨木、琥珀,https://www.1976.com.tw/prod/3137
BVLGARI 寶格麗城市森林男性淡香精迷你瓶,780,370,5ml 抹式,小香一樣很有質感不馬虎，微微的青草香伴著木質調，還真的有森林的感覺，有著沈穩內斂含蓄低調的迷人風采，不是高調誘人的艷香，好一個氣質香！,木質調,義大利柑橘皮、芫荽,絲柏木、海地香根草,雪松木、龍涎香、邏羅安息香,https://www.1976.com.tw/prod/16214
Bvlgari Wood Neroli 寶格麗森林之光男性淡香精,"3,300","1,850",60ml 絕版收藏品,第一次聞到時令人想起的是日本的溫泉泡澡粉，帶有暖意、令人放鬆且充滿綠意的氣息。開出是橙花油帶有花果調的香氣，散去之後則是帶有皂感的白麝香和木質香氣，適合想展現潔淨感跟親和力的你，四季使用皆宜。,琥珀木質調、龍涎香調、白麝香,佛手柑精華、橙花醇精油 LOART,橙花精華、維吉尼亞雪松木精華,,https://www.1976.com.tw/prod/17424
【身體系列】cK Eternity 永恆男性體香膏,"1,000",599,75g,第一次購買體香膏，淡淡的香味讓人身心舒暢，有別於香水的直接。值得試試看!,,,,,https://www.1976.com.tw/prod/2881
Bvlgari Man In Black 寶格麗當代真我男性淡香精,"3,925","2,450",60ml,非常沈的一隻香水，檀香味十分穩重，穩重中又帶著十分勾人又神秘的調性，就是一隻性感又神秘的香水，擴散度相當廣，味道濃，室外約會大概2下，室內約會輕輕噴一下，脖子後面即可，不必上手腕，夜店三到四下，十分有魅力的一隻香水，適合夜場合使用,東方花香調 、 皮革香調,天然萊姆酒,晚香玉、鳶尾草根、皮革,安息香、薰草豆、零陵香木,https://www.1976.com.tw/prod/12035
Calvin Klein cK Eternity 永恆男性淡香精,"4,800","1,699",內含淡香精100ml+行動香氛10ml (效期：2026.05),沈穩，涼涼的天竺葵，跟薰衣草的粉感，墊著木質的香味圍繞在身上，因為是淡香精所以味道也很濃郁。,東方調 、 辛辣調,鼠尾草、臭氧、蘋果,柏樹、天竺葵、肉荳蔻、薰衣草,麂皮、龍涎香、鳶尾根、莎草,https://www.1976.com.tw/prod/17461
cK Eternity 永恆男性淡香精版本 TESTER,"3,050","1,250",100ml 無紙盒包裝，內容與正貨相同,香味整體感高雅穩重，前味稍顯清甜，彷彿漫步在陽光灑落的歐洲果園藤架下，伴隨舒爽微風清新愜意。中味沈穩，同時保有前味清新氣息，像在冷氣房裡依偎在男友的厚實胸膛上，被結實的臂膀環抱輕撫後背的舒適安全感。後味的辛辣調微甜，很像剛睡醒就聞到男友沖泡藥草花果茶的香氣，溫和又使人精神微振，倚著男友肩膀啜飲草本精萃的放鬆療癒感。適合雅痞、眼鏡肌肉暖男或綺拉奈特莉那種優雅又有個性的女生使用～嗯，是男友香無誤,東方調 、 辛辣調,鼠尾草、臭氧、蘋果,柏樹、天竺葵、肉荳蔻、薰衣草,麂皮、龍涎香、鳶尾根、莎草,https://www.1976.com.tw/prod/18085
BVLGARI 寶格麗當代真我男性淡香精迷你瓶,600,380,5ml,非常濃厚溫暖的木質香，很沉穩內斂，十足的展現了男人味，非常迷人性感的木質香。,,天然萊姆酒,晚香玉、鳶尾草根、皮革,安息香、薰草豆、零陵香木,https://www.1976.com.tw/prod/12126
