note,class
利口酒,果香调
木瓜,果香调
鸡尾酒,果香调
内酯酸香调（水果牛奶）,果香调
火龙果,果香调
粉红香槟,果香调
红葡萄酒,果香调
蜜瓜,果香调
热带水果,果香调
香蕉,果香调
酸角,果香调
毕当茄,果香调
露莓,果香调
阿萨伊莓果/巴西莓,果香调
博伊森莓,果香调
酸樱桃,果香调
醋栗,果香调
仙人果,果香调
枸杞,果香调
苹果雪芭,果香调
黑加仑雪芭,果香调
覆盆子雪芭,果香调
石榴汁糖浆,果香调
桑葚,果香调
白醋栗,果香调
云莓,果香调
南非红茶,果香调
椰林飘香鸡尾酒,果香调
雪芭,果香调
贝利尼鸡尾酒,果香调
山竹,果香调
欧洲樱桃,果香调
黑樱桃,果香调
Dewfruit（异域水果）,果香调
麝香葡萄,果香调
梅酒,果香调
嘉宝果,果香调
柿子,果香调
马尼卡,果香调
Cosmofruit（水果香调）,果香调
苹果酒,果香调
绿色水果,果香调
树莓利口酒,果香调
酒浸樱桃,果香调
普罗塞克,果香调
阿贝罗鸡尾酒,果香调
波特酒,果香调
桃子雪芭,果香调
果酒,果香调
瓜拿纳,果香调
菠萝蜜,果香调
果酱,果香调
甜瓜（刺角瓜）,果香调
Prunella（李子）,果香调
草莓雪芭,果香调
葡萄酒糟,果香调
酸浆果,果香调
Prunol（李子）,果香调
日本枇杷,果香调
乙酸乙酯（水果香调）,果香调
Paradisamide（水果香调）,果香调
牙买加人心果,果香调
黑皮诺葡萄,果香调
能量饮料香调,果香调
刺果番荔枝,果香调
Antillone（水果香调）,果香调
番荔枝树,果香调
斐济果,果香调
荔枝雪芭,果香调
Veloutone（水果香调）,果香调
葡桃,果香调
橙味利口酒,果香调
Creamytone (果香调),果香调
糖霜莓果,果香调
蜜瓜香调,果香调
葡萄覆盆子冰糕,果香调
玛格丽特鸡尾酒,果香调
水果茶,果香调
菠萝莓,果香调
香波堡利口酒,果香调
酸枣,果香调
月桂果实,果香调
Miracle berry,果香调
星苹果,果香调
白葡萄酒,果香调
桑格利亚酒,果香调
格拉巴酒,果香调
覆盆子莫吉托,果香调
桑橙,果香调
樱桃棒棒糖香调,果香调
Malibu椰子酒,果香调
樱桃牛奶谐香,果香调
Winter berry,果香调
Durian,果香调
Fig of Egypt (Carob tree),果香调
香柠檬,柑橘调
橘子,柑橘调
柠檬,柑橘调
葡萄柚,柑橘调
甜橙,柑橘调
橙花油,柑橘调
柑橘,柑橘调
橘子,柑橘调
青柠,柑橘调
苦橙,柑橘调
血橙,柑橘调
柠檬马鞭草,柑橘调
柚子,柑橘调
柑橘（绿色）,柑橘调
香橼,柑橘调
柠檬皮,柑橘调
细皮小柑橘,柑橘调
金橘,柑橘调
柚子,柑橘调
柠檬花,柑橘调
柠檬草,柑橘调
山苍树,柑橘调
橘子花,柑橘调
柑橘（红色）,柑橘调
橙花（突尼斯）,柑橘调
柑橘（西西里）,柑橘调
莫吉托,柑橘调
葡萄柚花,柑橘调
卡菲尔酸橙（泰国柠檬）,柑橘调
柠檬雪芭,柑橘调
鱼子青柠,柑橘调
金汤力,柑橘调
Dihydromyrcenol（清新柑橘香）,柑橘调
柠檬马鞭草,柑橘调
凯匹林纳鸡尾酒,柑橘调
柑橘（糖渍）,柑橘调
加利蒙地亚橘,柑橘调
香茅,柑橘调
香蜂草,柑橘调
柠檬汤力水,柑橘调
Pamplewood（葡萄柚香调）,柑橘调
Lemon (Italia),柑橘调
柠檬甜酒,柑橘调
Lemon (Sicilia),柑橘调
橙子（巴伦西亚）,柑橘调
青柠（波斯）,柑橘调
香柠檬花,柑橘调
金巴利苦酒,柑橘调
柠檬汽水,柑橘调
佛手,柑橘调
葡萄柚（中国）,柑橘调
圣培露果汁,柑橘调
柑橘,柑橘调
柑橘（中国）,柑橘调
柑橘雪芭,柑橘调
活力香调,柑橘调
橙子（塔洛科）,柑橘调
德岛酸橘,柑橘调
古龙香调,柑橘调
柑桔花,柑橘调
Neroli (Moroccan),柑橘调
柠檬奶油（凝乳）,柑橘调
佛手柑雪芭,柑橘调
柑香酒,柑橘调
圆柚甲烷（葡萄柚香调）,柑橘调
酸味香调,柑橘调
橙子（摩洛哥）,柑橘调
橙花（卡拉布里亚）,柑橘调
莱姆金桔,柑橘调
Grapefruit Dries Van Noten,柑橘调
柠檬百里香,柑橘调
皮斯科酸味鸡尾酒,柑橘调
柑橘青柠香调,柑橘调
茶（葡萄柚）,柑橘调
橘树和柠檬树花,柑橘调
橙子（巴西 Pintango）,柑橘调
广藿香,柑苔香调
橡木苔,柑苔香调
苔藓,柑苔香调
广藿香（印度尼西亚）,柑苔香调
亚基戛纳木 (广藿香调),柑苔香调
土壤香调,柑苔香调
千龙木（广麝香香调）,柑苔香调
柑苔谐香,柑苔香调
太妃糖,柑苔香调
Evernyl（青苔）,柑苔香调
蘑菇,柑苔香调
白松露,柑苔香调
甜菜根,柑苔香调
干叶,柑苔香调
森林土地,柑苔香调
泥炭,柑苔香调
土壤香调,柑苔香调
广藿香（危地马拉）,柑苔香调
矿物质香调,概念性
沙子香调,概念性
墨水,概念性
石头,概念性
乙烯基,概念性
防滑蜡,概念性
鹅卵石,概念性
火石,概念性
清漆香调,概念性
肾上腺素香调,概念性
Filo di Seta香调,概念性
沥青,概念性
汽油,概念性
鲜血香调,概念性
碳香调,概念性
蒸汽,概念性
水泥,概念性
彩虹香调,概念性
分子（粉色）,概念性
银质香调,概念性
Electric Mist,概念性
粉笔,概念性
石灰岩,概念性
榻榻米,概念性
乙醚,概念性
胶片香调,概念性
On The Rocks Accord,概念性
工业胶水,概念性
Black Lacquer accord,概念性
石膏,概念性
可卡因香调,概念性
铂金香调,概念性
煤油,概念性
真丝香调,概念性
海洋,海洋调
海洋调,海洋调
臭氧香调,海洋调
海水,海洋调
海草/海藻,海洋调
咸香,海洋调
海风,海洋调
西瓜酮（海洋清香）,海洋调
露珠,海洋调
雨水香调,海洋调
高山空气,海洋调
冰块效应,海洋调
海风醛（海洋清香）,海洋调
汤力水,海洋调
雪花香调,海洋调
鱼子酱,海洋调
碘香调,海洋调
Aquozone（海洋清香）,海洋调
Helional（海洋调）,海洋调
沙漠空气香调,海洋调
地中海空气香调,海洋调
圣彼得草,海洋调
Head Space 瀑布,海洋调
Calypsone（海洋清香）,海洋调
晶体协议,海洋调
Transluzone（海洋清香）,海洋调
Oceanol（海洋清香）,海洋调
烟草叶,烟草香调
干草,烟草香调
烟草香调,烟草香调
烟草花,烟草香调
鹿舌草,烟草香调
水烟筒香调,烟草香调
灰烬,烟草香调
皮革,皮革香调
藏红花,皮革香调
麂皮,皮革香调
安息香,皮革香调
桦木,皮革香调
海狸香,皮革香调
灵猫香,皮革香调
动物香调,皮革香调
烟雾,皮革香调
杜松,皮革香调
桦焦油,皮革香调
正山小种红茶,皮革香调
闭鞘姜,皮革香调
